phase,L,eL
4.669999999925494,3.327123842300845e+42,6.3596307791587525e+41
5.660000000149012,3.0065537091040824e+42,3.421200519886414e+41
8.915370000060648,3.826876139873009e+42,4.415512536344634e+41
10.660000000149012,3.11938490687853e+42,3.549592755593514e+41
11.32395499991253,3.676609819956351e+42,4.18366696372851e+41
11.32395499991253,3.7106290717688305e+42,4.222377957526682e+41
12.661079999990761,3.7577727189304306e+42,4.335779874423054e+41
14.677469999995083,3.07980485974657e+42,6.495885864024486e+41
16.66923000011593,2.7183162671052564e+42,4.465268046006317e+41
21.669999999925494,2.7168706769497407e+42,2.9621408924746564e+41
23.242130000144243,2.920434988055888e+42,3.323204793972763e+41
25.668921666685492,2.38428385390626e+42,2.391163365339509e+41
25.668921666685492,2.4085627077327258e+42,2.415512272340311e+41
25.668921666685492,2.362424608142365e+42,2.382401034568131e+41
27.65029999986291,1.876864619889855e+42,2.971125157257759e+41
31.666480000130832,1.703084463797729e+42,2.231979438788584e+41
33.10116500000004,1.6929616822172543e+42,1.7097503184644034e+41
33.10116500000004,1.7809311435361763e+42,1.793593687309693e+41
33.10116500000004,1.7629789570433378e+42,1.7804619353836477e+41
33.10116500000004,1.7452077326281457e+42,1.774700828915895e+41
33.613599999807775,1.9612708282525202e+42,2.3763791001347686e+41
34.66832000017166,1.5842265459850016e+42,2.6711047339543383e+41
35.6095900000073,2.124110255588179e+42,2.844266811110433e+41
37.10203699991107,2.1505436566234265e+42,2.358864545537688e+41
37.10203699991107,2.05611370833983e+42,2.070732819207578e+41
37.10203699991107,2.07705084805731e+42,2.0892632727036902e+41
37.10203699991107,1.9835681606842682e+42,2.0211113490295317e+41
37.65423474996351,2.23022864369873e+42,2.3990512941391774e+41
37.65423474996351,2.2251431609788403e+42,2.233525213319089e+41
37.65423474996351,2.1825186212753755e+42,2.211287122188677e+41
38.85154000017792,2.6294765454252647e+42,3.0058504332142844e+41
41.58051000023261,2.7631075706302418e+42,3.188118891611543e+41
42.91471999976784,2.693599969904009e+42,2.9252373290203823e+41
45.09909874992445,3.4101071889879446e+42,3.4263570325607202e+41
45.09909874992445,3.607181793304612e+42,3.624370736827868e+41
45.09909874992445,3.457546505497374e+42,3.4705709869267725e+41
45.09909874992445,3.5380831095602717e+42,3.551410970135066e+41
47.102062500081956,3.701417127791675e+42,3.719055121552821e+41
47.102062500081956,3.597228538936251e+42,3.614370053209469e+41
47.102062500081956,3.684410660881563e+42,3.69828973326848e+41
47.102062500081956,3.677629972792073e+42,3.7551036808060045e+41
47.83001000015065,3.259846902352598e+42,3.659936512110271e+41
49.87933999998495,3.485832856241502e+42,3.948654741890064e+41
54.09231750003528,3.725358139690192e+42,3.730846187914553e+41
