jd G eG binepoch_G R eR binepoch_R c ec binepoch_c g eg binepoch_g i ei binepoch_i o eo binepoch_o r er binepoch_r
4.669999999925494 nan nan 0 14.22 0.15 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0
5.660000000149012 nan nan 0 14.33 0.05 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0
8.915370000060648 nan nan 0 nan nan 0 nan nan 0 15.366108762278028 0.053 1 nan nan 0 nan nan 0 nan nan 0
10.660000000149012 nan nan 0 14.29 0.05 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0
11.32395499991253 14.61 0.05 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0
11.32395499991253 14.6 0.05 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0
12.661079999990761 nan nan 0 nan nan 0 nan nan 0 15.385893504724624 0.053 1 nan nan 0 nan nan 0 nan nan 0
14.677469999995083 nan nan 0 nan nan 0 nan nan 0 15.601911777786187 0.171 1 nan nan 0 nan nan 0 nan nan 0
16.66923000011593 nan nan 0 nan nan 0 nan nan 0 15.737469817468854 0.12 1 nan nan 0 nan nan 0 nan nan 0
21.669999999925494 nan nan 0 14.44 0.04 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0
23.021019999869168 14.85 0.05 1 nan nan 0 nan nan 0 15.477144870511466 0.06 1 nan nan 0 nan nan 0 nan nan 0
23.242130000144243 14.86 0.05 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0
25.668921666685492 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.786 0.007 1 nan nan 0
25.668921666685492 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.775 0.007 1 nan nan 0
25.668921666685492 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.796 0.012 1 nan nan 0
