phase,L1,L2,L3
1.0,1.4514367484266006335e+41,3.6345434230883415428e+40,7.2798219025316941607e+39
3.0020040080160321772,1.1246759175137405588e+42,2.8544097626701126359e+41,5.7871842553519660935e+40
5.0040080160320643543,2.6338159973166380544e+42,6.8692991171321336965e+41,1.4279067199814359002e+41
7.0060120240480969755,4.2551217285343857115e+42,1.1560531171116061301e+42,2.4964851951326470256e+41
9.008016032064128709,5.6720754984748121495e+42,1.6257634948077750896e+42,3.6961385926434406787e+41
11.010020040080160442,6.695604503050058292e+42,2.0472327866329356441e+42,4.964672214807015492e+41
13.012024048096193951,7.261749046222720248e+42,2.3893114458775123036e+42,6.258911847995187039e+41
15.014028056112225684,7.405326394689702842e+42,2.6368272873145948729e+42,7.549393219552824281e+41
17.016032064128257417,7.2210426595874912447e+42,2.7878813438990169136e+42,8.8164157230740488316e+41
19.018036072144290927,6.8246900457662552677e+42,2.8505012012526629725e+42,1.0047131556634867369e+42
21.020040080160320883,6.3236238083805409235e+42,2.8390977689904095532e+42,1.1233418466459733019e+42
23.022044088176354393,5.800277683393570799e+42,2.7711566456766398756e+42,1.23703421475901032396e+42
25.024048096192387902,5.3076074914560326598e+42,2.6644967864069274755e+42,1.34550611399683751594e+42
27.026052104208417859,4.8725892053744936585e+42,2.5352826028543078372e+42,1.448605963446863513e+42
29.028056112224451368,4.5033982350861667376e+42,2.3968298797855180587e+42,1.5462623589996705411e+42
31.030060120240481325,4.1969022756780648708e+42,2.2591202791829882885e+42,1.6384493814089427374e+42
33.032064128256514834,3.9446239634189269653e+42,2.1288628535861886755e+42,1.7251646635026770372e+42
35.03406813627254479,3.7366390327399907085e+42,2.009911989195571856e+42,1.8064165885269991555e+42
37.036072144288581853,3.5636697713248343768e+42,1.9038645083474112278e+42,1.8822176745692449885e+42
39.03807615230461181,3.417928273751758282e+42,1.810696186262222742e+42,1.9525822440131026171e+42
41.040080160320641767,3.2932489055545494612e+42,1.7293447742886051806e+42,2.0175267473706892971e+42
43.04208416833667883,3.1848982434939559085e+42,1.658189289932680187e+42,2.0770716466072040753e+42
45.044088176352708786,3.0892899012203043287e+42,1.5954084449071612718e+42,2.1312441510105173814e+42
47.046092184368738742,3.0037127137323001877e+42,1.5392237934761895846e+42,2.1800810949839790509e+42
49.048096192384775804,2.9261090542282713214e+42,1.4880450332047234074e+42,2.2236317455791765346e+42
