phase,flt,mag,magerr
8.915370000060648,g,15.366108762278028,0.053
12.661079999990761,g,15.385893504724624,0.053
14.677469999995083,g,15.601911777786187,0.171
16.66923000011593,g,15.737469817468854,0.12
22.873929999768734,g,15.477144870511466,0.06
27.65029999986291,g,16.13963740847857,0.113
31.666480000130832,g,16.245129309727137,0.078
33.613599999807775,g,16.091875855803302,0.063
34.66832000017166,g,16.323676562022644,0.125
35.6095900000073,g,16.00527713813758,0.082
37.104179999791086,g,15.920165698362576,0.072
37.60229999991134,g,15.943933422504873,0.066
38.85154000017792,g,15.773546524327939,0.051
41.58051000023261,g,15.719725295679487,0.053
42.91471999976784,g,15.48222207665318,0.039
47.83001000015065,g,15.275061812851986,0.047
49.87933999998495,g,15.202288425239963,0.049
58.933509999886155,g,15.21724931663079,0.035
61.54203000012785,g,15.384175423082743,0.038
63.955399999860674,g,15.147490958823743,0.055
67.77608999982476,g,15.289881486716746,0.041
71.103740000166,g,15.250588601824179,0.03
72.9429199998267,g,15.297715099999408,0.04
73.80811000009999,g,15.232181942584143,0.07
76.88169999979436,g,15.207571946372411,0.067
84.9871999998577,g,15.46358464249356,0.04
85.46156999981031,g,15.572856334086518,0.051
86.97226999979466,g,15.41332169725622,0.114
87.94204000011086,g,15.573688689885348,0.064
90.97177999978885,g,15.527720383626432,0.042
92.46870000008494,g,15.771949434992186,0.054
93.70739000011235,g,15.79504892485005,0.056
94.71360999997705,g,15.651345167211247,0.046
95.82133999979123,g,15.630806443657029,0.045
96.81223999988288,g,15.546153538802736,0.045
100.69156999979168,g,15.423577310714174,0.08
104.72421000013128,g,15.722149092326179,0.126
108.94352999981493,g,15.66771499287974,0.064
114.61169000016525,g,15.855762734323513,0.064
115.48981000017375,g,15.956899762759745,0.063
4.669999999925494,R,14.22,0.15
5.660000000149012,R,14.33,0.05
10.660000000149012,R,14.29,0.05
21.669999999925494,R,14.44,0.04
11.235869999974966,G,14.61,0.05
11.412039999850094,G,14.6,0.05
23.1681099999696,G,14.85,0.05
23.242130000144243,G,14.86,0.05
60.96973000001162,G,14.67,0.05
33.08677599998191,c,15.751,0.013
33.09527199994773,c,15.696,0.011
33.109248999971896,c,15.707,0.013
33.113363000098616,c,15.718,0.017
37.085010999813676,c,15.568,0.011
37.101625999901444,c,15.54,0.011
37.10441299993545,c,15.529,0.01
37.114955000113696,c,15.579,0.018
69.0885450001806,c,15.091,0.007
69.10673400014639,c,15.087,0.008
69.1158239999786,c,15.089,0.01
85.06993199978024,c,15.314,0.008
85.07309699989855,c,15.314,0.008
85.07854800019413,c,15.292,0.008
85.09713699994609,c,15.3,0.008
85.56478400016204,c,15.323,0.008
85.56759499991313,c,15.31,0.008
85.57440999988467,c,15.33,0.008
85.60475399997085,c,15.297,0.008
89.05774499988183,c,15.439,0.009
89.06045900005847,c,15.435,0.009
89.06362299993634,c,15.43,0.009
89.06995700020343,c,15.405,0.009
91.87061200011522,c,15.48,0.01
91.87376900017262,c,15.471,0.009
91.90221899980679,c,15.488,0.009
91.90817499998957,c,15.486,0.009
91.94058600021526,c,15.512,0.014
93.09410100011155,c,15.563,0.009
93.09687400003895,c,15.531,0.009
93.12039500009269,c,15.509,0.01
93.12479700008407,c,15.533,0.01
97.10558500001207,c,15.437,0.009
97.11198800010607,c,15.434,0.009
97.12459000013769,c,15.445,0.011
97.12788099981844,c,15.417,0.013
97.59382000006735,c,15.44,0.008
97.59810299985111,c,15.461,0.009
97.60374499997124,c,15.47,0.009
97.61382000008598,c,15.444,0.01
97.6846559997648,c,15.483,0.011
119.66379099991173,c,15.787,0.012
119.6840670001693,c,15.844,0.011
119.71026899991557,c,15.816,0.011
119.719773999881,c,15.829,0.011
121.00589400017634,c,15.76,0.011
121.00906699988991,c,15.794,0.012
121.0191609999165,c,15.8,0.011
121.04460499994457,c,15.764,0.011
123.79672199999914,c,15.765,0.012
123.79988399986178,c,15.775,0.011
123.82645899988711,c,15.797,0.011
123.8296219999902,c,15.888,0.015
123.83278399985284,c,15.777,0.013
123.83323400001973,c,15.847,0.016
125.05511499987915,c,15.846,0.01
125.08940199995413,c,15.838,0.011
125.11789799993858,c,15.851,0.011
142.92046999977902,c,16.122,0.016
142.92231799988076,c,16.123,0.017
142.9250869997777,c,16.103,0.015
142.93017200008035,c,16.115,0.015
147.04653500020504,c,16.125,0.113
147.05302800005302,c,15.792,0.078
149.53281199978665,c,16.017,0.014
149.53596600005403,c,16.035,0.012
149.54187900014222,c,16.028,0.012
149.56570200016722,c,16.06,0.013
150.90707499999553,c,16.138,0.014
150.90892100008205,c,16.084,0.012
150.91361800022423,c,16.128,0.013
150.91874000011012,c,16.105,0.013
153.40852099983022,c,16.13,0.013
153.41032300004736,c,16.105,0.013
153.41212699981406,c,16.095,0.013
153.41348000010476,c,16.057,0.013
153.4229700001888,c,16.135,0.014
153.43256099987775,c,16.153,0.013
154.98480399977416,c,16.245,0.014
154.9946809997782,c,16.217,0.015
