"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"3133","1997dq","","175.23292","11.47936","SN Ib/c","0.003196","9812","1997-11-07 12:57:36.00","2450760.04","","FLWO-1.5m","FAST","PBe","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN1997dq_1997-11-07_12-57-36_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","540","3","","1.4","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"3133","1997dq","","175.23292","11.47936","SN Ib/c","0.003196","9807","1997-11-08 00:00:00.00","2450760.5","","Lick-3m","KAST","Alexei V. Filippenko; Douglas C. Leonard","Unknown","SUSPECT","Y","SUSPECT","","1997dq_1997-11-08_00-00-00_Lick-3m_KAST_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","800","2","","1.5","","","","","3270","10499","0.99986168741355","Matheson et al. 2001","2001AJ....121.1648M","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: raph]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"3133","1997dq","","175.23292","11.47936","SN Ib/c","0.003196","49730","1997-11-08 00:00:00.00","2450760.5","","Lick-3m","KAST","Alex Filippenko, Douglas Leonard","Thomas Matheson","UCB-SNDB","Y","UCB-SNDB","","SN_1997dq_1997-11-08_00-00-00_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3270","10500","1.9994469026549","","2001AJ....121.1648M","SNR: 51.6234;","WIS_Bot1","2019-01-23 10:48:35"
"3133","1997dq","","175.23292","11.47936","SN Ib/c","0.003196","9819","1997-11-08 13:30:43.00","2450761.0629977","","Lick-3m","KAST","Alex Filippenko,Doug Leonard","Tom Matheson","UCB-SNDB","Y","UCB-SNDB","","SN1997dq_1997-11-08_13-30-43_Lick-3m_KAST_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","800","0","","1.47668","","","","","3270","10500","1.9994469026549","Matheson, et al. 2001","2001AJ....121.1648M","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 6770 1997-11-02 Aoki IAUC 67706 11 2 131.8 -49.2081 [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"3133","1997dq","","175.23292","11.47936","SN Ib/c","0.003196","9813","1997-11-22 12:57:36.00","2450775.04","","FLWO-1.5m","FAST","PBe, JK","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN1997dq_1997-11-22_12-57-36_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.27","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"3133","1997dq","","175.23292","11.47936","SN Ib/c","0.003196","9814","1997-11-25 12:57:36.00","2450778.04","","FLWO-1.5m","FAST","PBe","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN1997dq_1997-11-25_12-57-36_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","900","3","","1.21","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"3133","1997dq","","175.23292","11.47936","SN Ib/c","0.003196","9815","1997-11-29 12:57:36.00","2450782.04","","FLWO-1.5m","FAST","PBe","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN1997dq_1997-11-29_12-57-36_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","900","3","","1.17","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"3133","1997dq","","175.23292","11.47936","SN Ib/c","0.003196","9816","1997-12-04 12:00:00.00","2450787","","FLWO-1.5m","FAST","JM","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN1997dq_1997-12-04_12-00-00_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","900","3","","1.24","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"3133","1997dq","","175.23292","11.47936","SN Ib/c","0.003196","9817","1997-12-05 12:57:36.00","2450788.04","","MMT","MMT-Blue","Unknown","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN1997dq_1997-12-05_12-57-36_MMT_MMT-Blue_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","600","0","","1.09","","","","","3196.63","8837.3529","1.9524828314296","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"3133","1997dq","","175.23292","11.47936","SN Ib/c","0.003196","9808","1997-12-20 00:00:00.00","2450802.5","","Keck1","LRIS","Alexei V. Filippenko; Aaron Barth","Unknown","SUSPECT","Y","SUSPECT","","1997dq_1997-12-20_00-00-00_Keck1_LRIS_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","500","1","","1.2","","","","","4300","6817","0.99960285941223","Matheson et al. 2001","2001AJ....121.1648M","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source; Actually taken with Keck II using LRIS [Prev. spec info - createdby: upload-suspect; modifiedby: raph]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
