"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"4567","1997ef","","119.26196","49.56147","SN Ib/c","0.011805","13672","1997-11-26 09:21:36.00","2450778.89","","FLWO-1.5m","FAST","PBe","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN1997ef_1997-11-26_09-21-36_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.12","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"4567","1997ef","","119.26196","49.56147","SN Ib/c","0.011805","13673","1997-11-28 12:57:36.00","2450781.04","","FLWO-1.5m","FAST","PBe","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN1997ef_1997-11-28_12-57-36_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.11","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"4567","1997ef","","119.26196","49.56147","SN Ib/c","0.011805","13674","1997-11-29 10:19:12.00","2450781.93","","FLWO-1.5m","FAST","PBe","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN1997ef_1997-11-29_10-19-12_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.06","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"4567","1997ef","","119.26196","49.56147","SN Ib/c","0.011805","13675","1997-11-30 08:24:00.00","2450782.85","","FLWO-1.5m","FAST","AM","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN1997ef_1997-11-30_08-24-00_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.19","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"4567","1997ef","","119.26196","49.56147","SN Ib/c","0.011805","13676","1997-12-01 08:09:36.00","2450783.84","","FLWO-1.5m","FAST","AM","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN1997ef_1997-12-01_08-09-36_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.22","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"4567","1997ef","","119.26196","49.56147","SN Ib/c","0.011805","13677","1997-12-04 08:09:36.00","2450786.84","","FLWO-1.5m","FAST","JM","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN1997ef_1997-12-04_08-09-36_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.17","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"4567","1997ef","","119.26196","49.56147","SN Ib/c","0.011805","13679","1997-12-05 07:26:24.00","2450787.81","","FLWO-1.5m","FAST","JM","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN1997ef_1997-12-05_07-26-24_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.26","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"4567","1997ef","","119.26196","49.56147","SN Ib/c","0.011805","13678","1997-12-05 09:50:24.00","2450787.91","","MMT","MMT-Blue","Unknown","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN1997ef_1997-12-05_09-50-24_MMT_MMT-Blue_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","900","0","","1.06","","","","","3316.5702","8819.3973","1.9520493437389","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"4567","1997ef","","119.26196","49.56147","SN Ib/c","0.011805","13680","1997-12-06 08:09:36.00","2450788.84","","FLWO-1.5m","FAST","JM","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN1997ef_1997-12-06_08-09-36_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.17","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"4567","1997ef","","119.26196","49.56147","SN Ib/c","0.011805","13696","1997-12-20 00:00:00.00","2450802.5","","Keck1","LRIS","James Clemens,Edward Robinson,Marten van Kerkwijk","Doug Leonard","UCB-SNDB","Y","UCB-SNDB","","SN1997ef_1997-12-20_00-00-00_Keck1_LRIS_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","600","0","","1.3","","","","","4300","6830","1.998420221169","Matheson, et al. 2001","2001AJ....121.1648M","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 6820 1997-11-25 Sano IAUC 67780 3 1.5 90 47 [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
