SN1998bw	0.0 0.0 0.0
filter U
filter B
  51254.5000 21.21 0.10
  51275.5000 21.56 0.10
  51284.5000 21.66 0.10
  51318.5000 22.19 0.10
  51345.5000 22.57 0.10
  51431.5000 23.53 0.10
filter V
  51068.5000 17.38 0.10
  51142.5000 18.76 0.10
  51254.5000 20.80 0.10
  51275.5000 21.15 0.10
  51284.5000 21.30 0.10
  51318.5000 21.78 0.10
  51341.5000 22.12 0.10
  51345.5000 22.16 0.10
  51398.5000 22.86 0.10
  51431.5000 23.07 0.10
  51466.5000 23.43 0.10
filter R
  51068.5000 17.06 0.10
  51142.5000 18.14 0.10
  51254.5000 19.87 0.10
  51275.5000 20.21 0.10
  51284.5000 20.27 0.10
  51318.5000 20.98 0.10
  51341.5000 21.18 0.10
  51345.5000 21.32 0.10
  51398.5000 22.21 0.10
  51431.5000 22.59 0.10
  51466.5000 23.05 0.10
filter I
  51068.5000 16.77 0.10
  51142.5000 17.95 0.10
  51254.5000 19.72 0.10
  51279.5000 20.10 0.10
  51284.5000 20.03 0.10
  51318.5000 20.95 0.10
  51341.5000 21.03 0.10
  51345.5000 21.13 0.10
  51398.5000 22.08 0.10
  51431.5000 22.50 0.10
  51466.5000 23.25 0.10
#Data sources:
#2002A&A...386..944S Sollerman et al. (2002)
#Sternberg Astronomical Institute Supernova Light Curve Catalogue ---
