"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"9587","1999em","","70.36267","-2.86256","SN IIP","0.002392","29449","1999-10-30 00:00:00.00","2451481.5","","CTIO-0.9","CASS-DI","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1999em_1999-10-30_00-00-00_CTIO-0.9_CASS-DI_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3063.8074999591","9855.3191358922","5.6595930299442","Hamuy et al. 2001","2001ApJ...558..615H","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: adam]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"9587","1999em","","70.36267","-2.86256","SN IIP","0.002392","29450","1999-10-31 00:00:00.00","2451482.5","","Lick1m","Nickel-Spec","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1999em_1999-10-31_00-00-00_Lick1m_Nickel-Spec_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3800","7449.5","1.4993837304848","Leonard et al. 2002","2002PASP..114...35L","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"9587","1999em","","70.36267","-2.86256","SN IIP","0.002392","29489","1999-10-31 08:16:48.00","2451482.845","","Lick1m","Nickel-Spec","Elinor Gates,Alex Filippenko","Doug Leonard","UCB-SNDB","Y","UCB-SNDB","","SN1999em_1999-10-31_08-16-48_Lick1m_Nickel-Spec_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","900","0","","1.47364","","","","","3800","7451","2.9975369458128","Leonard, et al. 2002","2002PASP..114...35L","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 7296 1999-10-29 Lick Observatory Supernova Search IAUC 72940 7 0 0 -29.3181 [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"9587","1999em","","70.36267","-2.86256","SN IIP","0.002392","29451","1999-11-01 00:00:00.00","2451483.5","","Lick1m","Nickel-Spec","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1999em_1999-11-01_00-00-00_Lick1m_Nickel-Spec_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3750","7447.5","1.4993917274939","Leonard et al. 2002","2002PASP..114...35L","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"9587","1999em","","70.36267","-2.86256","SN IIP","0.002392","29490","1999-11-01 08:00:58.00","2451483.8340046","","Lick1m","Nickel-Spec","Elinor Gates,Alex Filippenko","Doug Leonard","UCB-SNDB","Y","UCB-SNDB","","SN1999em_1999-11-01_08-00-58_Lick1m_Nickel-Spec_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","900","0","","1.52154","","","","","3750","7449","2.9975688816856","Leonard, et al. 2002","2002PASP..114...35L","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 7296 1999-10-29 Lick Observatory Supernova Search IAUC 72940 7 0 0 -32.0067 [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"9587","1999em","","70.36267","-2.86256","SN IIP","0.002392","29452","1999-11-02 00:00:00.00","2451484.5","","Lick1m","Nickel-Spec","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1999em_1999-11-02_00-00-00_Lick1m_Nickel-Spec_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3842","7398.5","1.4993676222597","Leonard et al. 2002","2002PASP..114...35L","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"9587","1999em","","70.36267","-2.86256","SN IIP","0.002392","29453","1999-11-02 00:00:00.00","2451484.5","","VLT-UT3","ISAAC","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1999em_1999-11-02_00-00-00_VLT-UT3_ISAAC_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","9822.5241668694","24997.256555885","1.0595400355408","Hamuy et al. 2001","2001ApJ...558..615H","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"9587","1999em","","70.36267","-2.86256","SN IIP","0.002392","29491","1999-11-02 07:40:48.00","2451484.82","","Lick1m","Nickel-Spec","Elinor Gates,Alex Filippenko","Doug Leonard","UCB-SNDB","Y","UCB-SNDB","","SN1999em_1999-11-02_07-40-48_Lick1m_Nickel-Spec_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","900","0","","1.59417","","","","","3842","7400","2.9974726200505","Leonard, et al. 2002","2002PASP..114...35L","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 7296 1999-10-29 Lick Observatory Supernova Search IAUC 72940 7 0 0 -35.0106 [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"9587","1999em","","70.36267","-2.86256","SN IIP","0.002392","29455","1999-11-03 00:00:00.00","2451485.5","","Lick1m","Nickel-Spec","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1999em_1999-11-03_00-00-00_Lick1m_Nickel-Spec_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3948","7447.5","1.4993573264781","Leonard et al. 2002","2002PASP..114...35L","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"9587","1999em","","70.36267","-2.86256","SN IIP","0.002392","29454","1999-11-03 04:04:04.00","2451485.6694907","","ESO-NTT","EMMI","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1999em_1999-11-03_04-04-04_ESO-NTT_EMMI_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3292.1318048618","10074.920938576","2.5928093018783","Hamuy et al. 2001","2001ApJ...558..615H","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
