SN2002ap	0.0 0.0 0.0
filter U
  52304.1700 14.01 0.07
  52305.1300 13.20 0.03
  52306.1200 13.03 0.03
  52307.1200 12.93 0.04
  52308.1200 12.86 0.04
  52309.1300 12.83 0.03
  52310.1200 12.88 0.04
  52311.1300 12.92 0.04
  52314.1300 13.35 0.03
  52315.1300 13.50 0.04
  52316.1300 13.68 0.05
  52317.1300 13.87 0.06
  52318.1300 14.01 0.04
  52320.1300 14.29 0.04
  52321.1300 14.42 0.05
  52326.1400 14.92 0.06
  52327.1300 15.09 0.04
  52329.1300 15.12 0.05
  52330.1300 15.11 0.07
  52333.1400 15.47 0.04
  52334.1400 15.52 0.06
  52335.1400 15.54 0.07
  52337.1400 15.69 0.07
  52338.1400 15.65 0.09
filter B
  52304.1700 14.42 0.02
  52305.1300 13.45 0.01
  52306.1200 13.17 0.02
  52307.1200 12.98 0.02
  52308.1200 12.86 0.02
  52309.1300 12.79 0.02
  52310.1200 12.73 0.02
  52311.1300 12.73 0.03
  52314.1300 12.88 0.01
  52315.1300 12.96 0.02
  52316.1300 13.06 0.01
  52317.1300 13.15 0.02
  52318.1300 13.28 0.02
  52320.1300 13.48 0.02
  52321.1300 13.56 0.03
  52326.1400 14.03 0.02
  52327.1300 14.07 0.02
  52329.1300 14.24 0.03
  52330.1300 14.31 0.02
  52333.1400 14.50 0.04
  52334.1400 14.60 0.02
  52335.1400 14.65 0.03
  52337.1400 14.78 0.02
  52338.1400 14.84 0.02
  52342.1400 15.00 0.03
  52436.5000 16.36 0.02
  52437.4900 16.35 0.02
  52464.4900 16.78 0.03
  52465.4900 16.80 0.02
  52492.4800 17.30 0.02
  52524.4600 17.80 0.02
  52525.5000 17.87 0.02
  52551.3500 18.28 0.03
  52551.3700 18.32 0.03
  52552.3200 18.32 0.03
  52582.2500 18.61 0.10
  52583.3000 18.79 0.07
  52613.2400 19.28 0.10
  52620.1900 19.26 0.09
filter V
  52304.1700 13.84 0.03
  52305.1300 13.13 0.02
  52306.1200 12.80 0.02
  52307.1200 12.57 0.02
  52308.1200 12.41 0.02
  52309.1300 12.32 0.03
  52310.1200 12.23 0.02
  52311.1300 12.16 0.02
  52314.1300 12.14 0.02
  52315.1300 12.15 0.02
  52316.1300 12.23 0.02
  52317.1300 12.24 0.02
  52318.1300 12.33 0.02
  52320.1300 12.47 0.02
  52321.1300 12.53 0.03
  52326.1400 12.87 0.02
  52327.1300 12.94 0.02
  52329.1300 13.09 0.02
  52330.1300 13.18 0.03
  52333.1400 13.42 0.03
  52334.1400 13.49 0.02
  52335.1400 13.59 0.03
  52337.1400 13.73 0.03
  52338.1400 13.81 0.03
  52342.1400 14.04 0.05
  52436.5000 15.87 0.02
  52437.4900 15.90 0.02
  52464.4900 16.46 0.02
  52465.4900 16.48 0.01
  52492.4800 17.14 0.02
  52524.4600 17.80 0.02
  52525.5000 17.78 0.03
  52551.3500 18.22 0.03
  52551.3700 18.32 0.03
  52552.3200 18.29 0.04
  52582.2500 18.75 0.04
  52583.3000 18.81 0.04
  52613.2400 19.20 0.05
  52620.1900 19.33 0.08
filter R
  52304.1700 13.60 0.02
  52305.1300 13.14 0.02
  52306.1200 12.85 0.02
  52307.1200 12.65 0.02
  52308.1200 12.49 0.02
  52309.1300 12.40 0.02
  52310.1200 12.28 0.01
  52311.1300 12.19 0.02
  52314.1300 12.08 0.02
  52315.1300 12.07 0.02
  52316.1300 12.09 0.02
  52317.1300 12.09 0.02
  52318.1300 12.13 0.02
  52320.1300 12.21 0.02
  52321.1300 12.25 0.02
  52326.1400 12.51 0.02
  52327.1300 12.57 0.02
  52329.1300 12.69 0.02
  52330.1300 12.75 0.02
  52333.1400 12.94 0.02
  52334.1400 13.03 0.02
  52335.1400 13.10 0.03
  52337.1400 13.24 0.02
  52338.1400 13.31 0.02
  52436.5000 15.20 0.02
  52437.4900 15.20 0.02
  52464.4900 15.58 0.02
  52465.4900 15.60 0.03
  52492.4800 16.08 0.02
  52524.4600 16.52 0.02
  52525.5000 16.52 0.03
  52551.3500 17.01 0.03
  52551.3700 16.91 0.03
  52552.3200 16.97 0.04
  52582.2500 17.46 0.04
  52583.3000 17.46 0.04
  52613.2400 17.93 0.06
  52620.1900 18.05 0.05
filter I
  52304.1700 13.70 0.01
  52305.1300 13.28 0.02
  52306.1200 13.02 0.03
  52307.1200 12.84 0.02
  52308.1200 12.72 0.02
  52309.1300 12.60 0.02
  52310.1200 12.48 0.02
  52311.1300 12.38 0.03
  52314.1300 12.24 0.02
  52315.1300 12.21 0.02
  52316.1300 12.22 0.02
  52317.1300 12.18 0.03
  52318.1300 12.22 0.03
  52320.1300 12.24 0.02
  52321.1300 12.27 0.02
  52326.1400 12.41 0.02
  52327.1300 12.45 0.02
  52329.1300 12.53 0.02
  52330.1300 12.56 0.03
  52333.1400 12.66 0.03
  52334.1400 12.74 0.02
  52335.1400 12.79 0.03
  52337.1400 12.89 0.01
  52338.1400 12.93 0.02
  52436.5000 14.95 0.03
  52437.4900 15.00 0.02
  52464.4900 15.49 0.03
  52465.4900 15.54 0.03
  52492.4800 16.04 0.02
  52524.4600 16.67 0.02
  52525.5000 16.64 0.04
  52551.3500 17.13 0.06
  52551.3700 17.17 0.06
  52552.3200 17.10 0.06
  52582.2500 17.63 0.05
  52583.3000 17.66 0.05
  52613.2400 18.16 0.06
  52620.1900 18.31 0.07
#Data sources:
#2003PASP..115.1220F Foley et al. (2003)
#SUSPECT ---
