"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"6334","2002ap","","24.09938","15.75367","SN Ic-BL","0.002108","19043","2002-01-31 16:39:56.00","2452306.1943981","","Wise1m","FOSC","Dann, J.","Shemmer, O","","Y","","","SN2002ap_2002-01-31_16-39-56_Wise1m_FOSC_None.ASC","","Object","High","","Air","Angstrom","1","Other","","1200","0","","","","","","","3978","7812","0.99973924380704","Gal-Yam et al. 2002","2002MNRAS.332L..73G","[Data obtained from:Gal-Yam, A.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6334","2002ap","","24.09938","15.75367","SN Ic-BL","0.002108","19044","2002-02-01 00:00:00.00","2452306.5","","HST","STIS","Service","Unknown","","Y","","","SN2002ap_2002-02-01_00-00-00_HST_STIS_None.dat","","Object","","","Air","Angstrom","1","Other","","200","1","","","","","G230LB+G430L","","2251.528578639","5711.7449713349","0.58518795749973","Chornock et al. 2013","2013ApJ...767..162C","From proposal 9114, PI - Kirshner [Prev. spec info - createdby: ofer; modifiedby: ofer]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6334","2002ap","","24.09938","15.75367","SN Ic-BL","0.002108","19036","2002-02-02 00:00:00.00","2452307.5","","Wise1m","FOSC","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2002ap_2002-02-02_00-00-00_Wise1m_FOSC_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","4000","7498.6659193039","3.6031574864098","","","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6334","2002ap","","24.09938","15.75367","SN Ic-BL","0.002108","19037","2002-02-03 00:00:00.00","2452308.5","","Wise1m","FOSC","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2002ap_2002-02-03_00-00-00_Wise1m_FOSC_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","4000","7499.7054071427","3.6005199661962","","","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6334","2002ap","","24.09938","15.75367","SN Ic-BL","0.002108","19064","2002-02-06 02:38:24.00","2452311.61","","FLWO-1.5m","FAST","LM","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2002ap_2002-02-06_02-38-24_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1800","3","","1.29","","","","","3481","9300","1.4997422680412","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6334","2002ap","","24.09938","15.75367","SN Ic-BL","0.002108","19065","2002-02-07 02:09:36.00","2452312.59","","FLWO-1.5m","FAST","LM","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2002ap_2002-02-07_02-09-36_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1800","3","","1.22","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6334","2002ap","","24.09938","15.75367","SN Ic-BL","0.002108","19045","2002-02-07 16:52:41.00","2452313.2032523","","Wise1m","FOSC","Dann, J.","Shemmer, O","","Y","","","SN2002ap_2002-02-07_16-52-41_Wise1m_FOSC_None.ASC","","Object","High","","Air","Angstrom","1","Other","","1200","0","","","","","","","3989","7821","0.9997391077485","Gal-Yam et al. 2002","2002MNRAS.332L..73G","[Data obtained from:Gal-Yam, A.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6334","2002ap","","24.09938","15.75367","SN Ic-BL","0.002108","19066","2002-02-08 01:55:12.00","2452313.58","","FLWO-1.5m","FAST","LM","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2002ap_2002-02-08_01-55-12_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1800","3","","1.19","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6334","2002ap","","24.09938","15.75367","SN Ic-BL","0.002108","19067","2002-02-09 02:38:24.00","2452314.61","","FLWO-1.5m","FAST","LM","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2002ap_2002-02-09_02-38-24_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1800","3","","1.39","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6334","2002ap","","24.09938","15.75367","SN Ic-BL","0.002108","19038","2002-02-10 00:00:00.00","2452315.5","","Wise1m","FOSC","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2002ap_2002-02-10_00-00-00_Wise1m_FOSC_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","4035.6560058594","7699.203704834","3.6023084552356","","","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
