SN2004aw	0.0 0.0 0.0
filter I
  53085.3000 16.97 0.05
  53087.3000 16.77 0.03
  53088.3000 16.78 0.11
  53088.9000 16.71 0.04
  53090.4000 16.63 0.04
  53092.3000 16.60 0.04
  53092.6000 16.52 0.02
  53093.3000 16.54 0.04
  53093.6000 16.54 0.07
  53094.0000 16.54 0.06
  53094.3000 16.53 0.07
  53095.0000 16.43 0.05
  53095.0000 16.54 0.06
  53095.3000 16.54 0.04
  53096.0000 16.40 0.05
  53096.3000 16.56 0.05
  53096.9000 16.42 0.03
  53102.3000 16.58 0.04
  53102.8000 16.59 0.05
  53103.0000 16.56 0.10
  53104.3000 16.65 0.03
  53107.3000 16.71 0.05
  53107.8000 16.71 0.03
  53109.1000 16.74 0.04
  53109.9000 16.77 0.05
  53111.3000 16.88 0.03
  53112.9000 16.93 0.05
  53115.9000 17.00 0.03
  53115.9000 17.03 0.04
  53116.9000 17.03 0.07
  53117.0000 17.05 0.05
  53118.1000 17.08 0.04
  53118.9000 17.12 0.05
  53119.3000 17.15 0.05
  53120.0000 17.13 0.03
  53121.0000 17.16 0.04
  53124.3000 17.29 0.08
  53129.3000 17.33 0.06
  53132.0000 17.52 0.04
  53134.3000 17.53 0.06
  53136.9000 17.62 0.03
  53138.2000 17.59 0.06
  53145.2000 17.77 0.09
  53152.2000 17.81 0.10
  53159.2000 17.91 0.08
  53346.2000 20.84 0.12
#Data sources:
#2006MNRAS.371.1459T Taubenberger et al. (2006)
#Sternberg Astronomical Institute Supernova Light Curve Catalogue ---
