"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"6984","2004aw","","179.45933","25.26531","SN Ic","0.0163","20731","2004-03-21 06:57:36.00","2453085.79","","FLWO-1.5m","FAST","PBe","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004aw_2004-03-21_06-57-36_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.02","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6984","2004aw","","179.45933","25.26531","SN Ic","0.0163","20732","2004-03-23 06:28:48.00","2453087.77","","FLWO-1.5m","FAST","MC","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004aw_2004-03-23_06-28-48_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.03","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6984","2004aw","","179.45933","25.26531","SN Ic","0.0163","20707","2004-03-24 00:00:00.00","2453088.5","","TNG","DOLORES","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2004aw_2004-03-24_00-00-00_TNG_DOLORES_SUSPECT.dat","2004aw_2004-03-24_00-00-00_TNG_DOLORES_SUSPECT.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3250","9297.0955505371","2.9030703555147","Taubenberger 2007","2006MNRAS.371.1459T","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: ilanm]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6984","2004aw","","179.45933","25.26531","SN Ic","0.0163","20733","2004-03-24 08:38:24.00","2453088.86","","FLWO-1.5m","FAST","MC","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004aw_2004-03-24_08-38-24_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.05","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6984","2004aw","","179.45933","25.26531","SN Ic","0.0163","20734","2004-03-25 06:57:36.00","2453089.79","","FLWO-1.5m","FAST","PBe","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004aw_2004-03-25_06-57-36_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1260","3","","1.01","","","","","3320","7220","1.4994232987313","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6984","2004aw","","179.45933","25.26531","SN Ic","0.0163","20735","2004-03-26 08:24:00.00","2453090.85","","FLWO-1.5m","FAST","PBe","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004aw_2004-03-26_08-24-00_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","3000","3","","1.04","","","","","3320","9240","1.499493414387","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6984","2004aw","","179.45933","25.26531","SN Ic","0.0163","20736","2004-03-27 08:52:48.00","2453091.87","","FLWO-1.5m","FAST","PBe","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004aw_2004-03-27_08-52-48_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1365","3","","1.1","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6984","2004aw","","179.45933","25.26531","SN Ic","0.0163","20708","2004-03-28 00:00:00.00","2453092.5","","SSO-2.3m","DBS","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2004aw_2004-03-28_00-00-00_SSO-2.3m_DBS_SUSPECT.dat","2004aw_2004-03-28_00-00-00_SSO-2.3m_DBS_SUSPECT.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3600","9212.4977123737","2.0756278522092","Taubenberger 2007","2006MNRAS.371.1459T","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: ilanm]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6984","2004aw","","179.45933","25.26531","SN Ic","0.0163","20737","2004-03-28 06:28:48.00","2453092.77","","FLWO-1.5m","FAST","MC","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004aw_2004-03-28_06-28-48_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.01","","","","","3720","7540.5","1.4994113029827","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"6984","2004aw","","179.45933","25.26531","SN Ic","0.0163","20709","2004-03-29 00:00:00.00","2453093.5","","SSO-2.3m","DBS","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2004aw_2004-03-29_00-00-00_SSO-2.3m_DBS_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3600","9218.7812500001","2.0756487809383","Taubenberger 2007","2006MNRAS.371.1459T","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
