SN2005bf	0.0 0.0 0.0
filter B
  53467.1700 18.22 0.01
  53468.0900 18.11 0.01
  53472.0900 17.77 0.01
  53473.1000 17.73 0.01
  53474.0600 17.69 0.01
  53475.1400 17.68 0.01
  53476.0600 17.71 0.01
  53477.0600 17.75 0.01
  53478.0800 17.79 0.01
  53479.0200 17.78 0.01
  53480.0400 17.77 0.01
  53482.0300 17.71 0.02
  53483.0400 17.63 0.01
  53484.1000 17.59 0.01
  53489.0200 17.14 0.01
  53490.0100 17.03 0.01
  53490.9900 16.93 0.01
  53493.0200 16.80 0.02
  53495.0400 16.74 0.01
  53496.0500 16.72 0.01
  53496.9700 16.69 0.01
  53498.9600 16.72 0.01
  53499.9700 16.73 0.01
  53500.9600 16.78 0.01
  53501.9700 16.82 0.01
  53502.9700 16.86 0.01
  53503.9800 16.92 0.01
  53505.9900 17.03 0.02
  53507.0000 17.05 0.06
  53508.1500 17.16 0.01
  53508.9700 17.23 0.01
  53510.0200 17.26 0.03
  53510.9800 17.39 0.01
  53512.1500 17.54 0.02
  53512.9600 17.55 0.01
  53515.9600 17.84 0.01
  53516.9500 17.96 0.01
  53519.9600 18.29 0.01
  53520.9500 18.36 0.01
  53521.9500 18.42 0.03
  53522.9700 18.57 0.02
  53523.9600 18.69 0.02
  53524.9500 18.76 0.03
  53525.9500 18.92 0.04
  53527.0000 18.95 0.02
  53527.9700 19.00 0.01
  53528.9900 19.10 0.02
  53529.9800 19.17 0.02
  53537.9800 19.55 0.04
  53564.9800 20.49 0.06
  53568.9800 20.74 0.15
filter V
  53467.1700 18.03 0.01
  53468.0900 17.94 0.01
  53472.0900 17.61 0.01
  53473.1000 17.55 0.01
  53474.0600 17.50 0.01
  53475.1400 17.48 0.01
  53476.0600 17.47 0.01
  53477.0600 17.48 0.01
  53478.0800 17.47 0.01
  53479.0200 17.41 0.02
  53480.0400 17.38 0.01
  53481.0200 17.34 0.01
  53482.0300 17.28 0.02
  53483.0400 17.22 0.01
  53484.1000 17.17 0.01
  53489.0200 16.82 0.01
  53490.0100 16.74 0.01
  53490.9900 16.65 0.01
  53493.0200 16.53 0.02
  53495.0400 16.48 0.01
  53496.0500 16.46 0.01
  53496.9700 16.44 0.01
  53498.9600 16.44 0.01
  53499.9700 16.44 0.01
  53500.9600 16.46 0.01
  53501.9700 16.48 0.01
  53502.9700 16.50 0.01
  53503.9800 16.52 0.01
  53505.9900 16.56 0.01
  53507.0000 16.67 0.05
  53508.1500 16.66 0.01
  53508.9700 16.68 0.01
  53510.0200 16.70 0.02
  53510.9800 16.79 0.01
  53512.1500 16.85 0.01
  53512.9600 16.91 0.01
  53515.9600 17.10 0.01
  53516.9500 17.18 0.01
  53519.9600 17.43 0.01
  53520.9500 17.51 0.01
  53521.9500 17.58 0.02
  53522.9700 17.68 0.02
  53523.9600 17.75 0.01
  53524.9500 17.79 0.03
  53525.9500 17.92 0.02
  53527.0000 18.00 0.01
  53527.9700 18.09 0.01
  53528.9900 18.15 0.01
  53529.9800 18.20 0.02
  53537.9800 18.54 0.01
  53538.9600 18.59 0.02
  53541.9600 18.66 0.02
  53564.9800 19.57 0.03
  53568.9800 19.75 0.04
filter g
  53467.1700 18.06 0.01
  53468.0900 17.95 0.01
  53472.0900 17.61 0.01
  53473.1000 17.55 0.01
  53474.0600 17.52 0.01
  53475.1400 17.52 0.01
  53476.0600 17.54 0.01
  53477.0600 17.56 0.01
  53478.0800 17.58 0.01
  53479.0200 17.56 0.01
  53480.0400 17.54 0.01
  53481.0200 17.51 0.01
  53482.0300 17.46 0.03
  53483.0400 17.39 0.01
  53484.1000 17.33 0.01
  53489.0200 16.93 0.01
  53490.0100 16.81 0.01
  53490.9900 16.73 0.01
  53493.0200 16.59 0.02
  53495.0400 16.56 0.01
  53496.0500 16.50 0.01
  53496.9700 16.51 0.01
  53498.9600 16.51 0.01
  53499.9700 16.53 0.01
  53500.9600 16.57 0.01
  53501.9700 16.60 0.01
  53502.9700 16.64 0.01
  53503.9800 16.67 0.01
  53505.9900 16.76 0.01
  53512.1500 17.14 0.01
  53515.9600 17.45 0.01
  53516.9500 17.53 0.03
  53519.9600 17.85 0.01
  53520.9500 17.88 0.02
  53528.9900 18.63 0.01
  53529.9800 18.68 0.01
filter r
  53467.1700 18.05 0.01
  53468.0900 17.97 0.01
  53472.0900 17.62 0.01
  53473.1000 17.57 0.01
  53474.0600 17.50 0.01
  53475.1400 17.47 0.01
  53476.0600 17.44 0.01
  53477.0600 17.41 0.01
  53478.0800 17.38 0.01
  53479.0200 17.30 0.01
  53480.0400 17.29 0.01
  53481.0200 17.22 0.01
  53482.0300 17.14 0.03
  53483.0400 17.12 0.01
  53484.1000 17.07 0.01
  53489.0200 16.73 0.01
  53490.0100 16.65 0.01
  53490.9900 16.59 0.01
  53507.0000 16.41 0.04
  53508.1500 16.49 0.01
  53508.9700 16.49 0.01
  53510.0200 16.52 0.02
  53510.9800 16.57 0.01
  53512.1500 16.60 0.01
  53512.9600 16.64 0.01
  53521.9500 17.21 0.01
  53522.9700 17.30 0.01
  53523.9600 17.38 0.02
  53524.9500 17.44 0.01
  53525.9500 17.49 0.01
  53527.0000 17.56 0.01
#Data sources:
#2017arXiv170707616S Stritzinger et al. (2017)
