SN2007gr	0.0 0.0 0.0
filter B
  54330.0700 13.99 0.02
  54330.2000 13.82 0.06
  54332.1800 13.67 0.02
  54332.2000 13.65 0.02
  54333.2300 13.55 0.02
  54334.1300 13.48 0.03
  54334.2000 13.51 0.02
  54335.2400 13.51 0.04
  54336.0100 13.51 0.02
  54336.1000 13.44 0.03
  54338.0300 13.49 0.03
  54338.1000 13.47 0.03
  54338.9300 13.58 0.03
  54339.1000 13.53 0.02
  54341.8700 13.73 0.02
  54343.7800 13.94 0.10
  54346.7700 14.20 0.15
  54349.9900 14.58 0.02
  54350.1700 14.44 0.04
  54353.1700 14.97 0.02
  54354.8400 15.12 0.10
  54356.1000 15.25 0.03
  54357.0200 15.26 0.03
  54357.0500 15.25 0.02
  54357.1000 15.39 0.03
  54358.0300 15.37 0.03
  54358.0700 15.42 0.02
  54359.9500 15.43 0.03
  54360.1400 15.53 0.01
  54361.9400 15.64 0.03
  54363.1000 15.65 0.02
  54363.9500 15.74 0.03
  54364.0000 15.71 0.02
  54365.1400 15.82 0.02
  54368.0600 15.79 0.04
  54369.9300 15.79 0.03
  54371.0700 15.81 0.02
  54373.1000 15.92 0.03
  54375.0300 15.91 0.03
  54381.0100 15.95 0.03
  54382.0600 15.97 0.04
  54382.1000 15.92 0.02
  54383.0700 16.00 0.03
  54384.0700 15.98 0.02
  54385.1300 16.02 0.03
  54389.0500 16.02 0.02
  54389.9000 16.05 0.03
  54392.1000 15.98 0.03
  54394.0200 16.06 0.03
  54396.0200 16.07 0.02
  54397.9800 16.14 0.03
  54402.0800 16.17 0.03
  54403.0800 16.18 0.03
  54406.2000 16.21 0.03
  54410.2000 16.30 0.03
  54417.0800 16.30 0.03
  54418.0600 16.38 0.04
  54425.1300 16.47 0.02
  54431.9400 16.58 0.04
  54439.0100 16.61 0.04
  54439.9500 16.66 0.04
  54440.0300 16.66 0.03
  54444.0100 16.75 0.03
  54444.0400 16.76 0.03
  54450.1200 16.83 0.04
  54459.9900 16.97 0.02
  54462.8100 17.03 0.03
  54462.8900 17.02 0.05
  54468.0000 17.08 0.03
  54471.9000 17.18 0.04
  54474.0100 17.24 0.04
  54478.9000 17.24 0.04
  54491.8500 17.39 0.05
  54493.8600 17.48 0.05
  54506.9500 17.67 0.04
#Data sources:
#2009arh..conf37801H ---
#Sternberg Astronomical Institute Supernova Light Curve Catalogue ---
