"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"2758","2007gr","","40.86658","37.34575","SN Ic","0.001728","49927","2007-08-16 11:55:40.00","2454328.9969907","","Lick-3m","KAST","Reitzel","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN_2007gr_2007-08-16_11-55-40_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3310","9582","1.9959095247211","","2019MNRAS.482.1545S","SNR: 55.4419;","WIS_Bot1","2019-01-23 10:48:35"
"2758","2007gr","","40.86658","37.34575","SN Ic","0.001728","8816","2007-08-17 00:00:00.00","2454329.5","","Other","Other","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2007gr_2007-08-17_00-00-00_Other_Other_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3200","7710.60647","1.3274839585451","Valenti et al. 2008","2008ApJ...673L.155V","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"2758","2007gr","","40.86658","37.34575","SN Ic","0.001728","49928","2007-08-17 15:10:04.00","2454330.1319907","","Keck1","LRIS","Jason X. Prochaska, Rubin, Pollack","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN_2007gr_2007-08-17_15-10-04_Keck1_LRIS_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3050","9406.5","1.4395467891365","","2019MNRAS.482.1545S","SNR: 100.166;","WIS_Bot1","2019-01-23 10:48:35"
"2758","2007gr","","40.86658","37.34575","SN Ic","0.001728","8817","2007-08-18 00:00:00.00","2454330.5","","Other","Other","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2007gr_2007-08-18_00-00-00_Other_Other_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3492.135","9983.783688","2.1150295266281","Valenti et al. 2008","2008ApJ...673L.155V","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"2758","2007gr","","40.86658","37.34575","SN Ic","0.001728","8818","2007-08-20 00:00:00.00","2454332.5","","Other","Other","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2007gr_2007-08-20_00-00-00_Other_Other_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3180","9403.765115","1.3157621772314","Valenti et al. 2008","2008ApJ...673L.155V","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"2758","2007gr","","40.86658","37.34575","SN Ic","0.001728","8819","2007-08-21 00:00:00.00","2454333.5","","Other","Other","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2007gr_2007-08-21_00-00-00_Other_Other_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3169.997","9108.46232","1.5034799273399","Valenti et al. 2008","2008ApJ...673L.155V","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"2758","2007gr","","40.86658","37.34575","SN Ic","0.001728","49923","2007-08-21 12:15:50.00","2454334.0109954","","Lick-3m","KAST","Xiaofeng Wang, Frank Serduke","Thea Steele","UCB-SNDB","Y","UCB-SNDB","","SN_2007gr_2007-08-21_12-15-50_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3310","10500","1.9959907624548","","2019MNRAS.482.1545S","SNR: 99.8585;","WIS_Bot1","2019-01-23 10:48:35"
"2758","2007gr","","40.86658","37.34575","SN Ic","0.001728","8820","2007-08-22 00:00:00.00","2454334.5","","Other","Other","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2007gr_2007-08-22_00-00-00_Other_Other_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3183.766","9110.961376","1.4972092232719","Valenti et al. 2008","2008ApJ...673L.155V","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"2758","2007gr","","40.86658","37.34575","SN Ic","0.001728","8821","2007-08-23 00:00:00.00","2454335.5","","Other","Other","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2007gr_2007-08-23_00-00-00_Other_Other_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3127.816","9108.4622","1.5034826166393","Valenti et al. 2008","2008ApJ...673L.155V","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"2758","2007gr","","40.86658","37.34575","SN Ic","0.001728","8822","2007-08-26 00:00:00.00","2454338.5","","Other","Other","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2007gr_2007-08-26_00-00-00_Other_Other_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3271.84","7810.554495","1.1453197991666","Valenti et al. 2008","2008ApJ...673L.155V","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
