MJD	B Berr	V Verr	r rerr i ierr	
56633.4	16.70 0.02	15.54 0.02	15.15 0.03	15.06 0.03	
56633.5	16.71 0.03	15.55 0.03	15.15 0.05	15.08 0.04	
56634.4	16.70 0.02	15.54 0.02	15.14 0.01	15.04 0.01	
56640.3	17.16 0.02	15.93 0.02	15.47 0.02	15.35 0.03	
56649.5	17.36 0.03	16.27 0.01	15.85 0.01	15.72 0.01	
56650.5	17.57 0.03	16.35 0.02	15.91 0.03	15.78 0.03	
56652.5	17.54 0.02	16.36 0.01	15.93 0.01	15.84 0.02	
56653.5	17.53 0.02	16.40 0.01	15.95 0.01	15.85 0.01	
56654.5	17.62 0.02	99.99 99.99	16.02 0.03	15.91 0.03	
56655.5	99.99 99.99	99.99 99.99	99.99 99.99	15.92 0.05	
56656.3	17.52 0.02	16.42 0.01	15.96 0.01	15.84 0.01	
56658.5	17.65 0.02	16.48 0.02	16.08 0.02	99.99 99.99	
56659.5	99.99 99.99	16.49 0.01	16.07 0.01	15.99 0.01	
56660.3	17.71 0.04	16.54 0.03	16.13 0.04	15.93 0.02	
56663.5	17.71 0.02	16.58 0.05	16.19 0.05	16.10 0.06	
56666.4	17.76 0.03	16.64 0.02	99.99 99.99	16.19 0.03	
56668.3	17.76 0.02	16.65 0.01	16.29 0.02	16.23 0.02	
56669.5	17.80 0.03	16.70 0.03	16.30 0.03	16.27 0.04	
56670.5	17.78 0.02	16.70 0.03	16.34 0.02	16.31 0.03	
56671.4	17.83 0.03	16.73 0.04	16.38 0.04	16.32 0.04	
56672.5	99.99 99.99	16.70 0.01	16.32 0.01	16.29 0.01	
56673.5	17.88 0.04	16.78 0.03	16.44 0.05	99.99 99.99	
56674.4	99.99 99.99	16.69 0.01	16.27 0.02	16.35 0.01	
56675.4	17.85 0.03	16.77 0.02	16.44 0.03	16.44 0.03	
56676.5	99.99 99.99	16.82 0.03	99.99 99.99	16.50 0.04	
56677.4	17.92 0.04	16.85 0.03	16.49 0.03	16.48 0.03	
56678.4	17.89 0.02	99.99 99.99	16.50 0.02	16.49 0.02	
56680.4	17.86 0.02	16.87 0.02	16.53 0.03	16.55 0.03	
56683.5	17.92 0.02	16.91 0.03	16.59 0.03	16.61 0.02	
56685.4	17.90 0.02	16.95 0.02	16.60 0.03	16.63 0.03	
56691.3	17.97 0.02	17.00 0.02	16.70 0.02	16.77 0.03	
56694.4	99.99 99.99	17.05 0.03	99.99 99.99	99.99 99.99	
56697.4	18.08 0.02	17.13 0.02	16.81 0.02	16.89 0.02	
56700.3	18.14 0.02	17.20 0.02	16.87 0.02	16.96 0.02	
56701.4	18.16 0.03	17.21 0.03	16.89 0.03	17.01 0.04	
56702.3	18.20 0.03	17.21 0.03	16.90 0.02	17.03 0.03	
56703.5	18.18 0.04	99.99 99.99	99.99 99.99	99.99 99.99	
56706.4	18.20 0.02	17.28 0.03	16.97 0.03	17.09 0.04	
56708.5	18.11 0.02	17.31 0.02	17.02 0.02	17.15 0.03	
56713.2	18.19 0.03	17.34 0.04	17.05 0.03	17.15 0.02	
56713.3	18.30 0.03	17.42 0.05	17.07 0.03	99.99 99.99	
56715.2	18.24 0.03	17.35 0.02	17.07 0.02	17.22 0.02	
56715.5	18.28 0.03	17.39 0.02	17.11 0.02	17.25 0.03	
56721.5	99.99 99.99	99.99 99.99	17.08 0.02	17.24 0.02	
56722.3	18.38 0.03	17.54 0.04	17.19 0.04	17.35 0.03	
56730.5	18.50 0.04	17.67 0.03	17.29 0.02	17.60 0.04	
56731.4	99.99 99.99	17.63 0.03	99.99 99.99	99.99 99.99	
56733.3	18.63 0.04	17.77 0.03	17.38 0.03	17.62 0.03	
56735.3	18.50 0.05	17.77 0.07	17.33 0.07	17.61 0.13	
56741.3	18.68 0.03	17.88 0.04	17.50 0.04	17.71 0.03	
56746.3	18.73 0.10	17.75 0.05	99.99 99.99	99.99 99.99	
56749.3	18.64 0.03	18.00 0.02	17.58 0.02	17.71 0.02	
56754.3	18.64 0.03	18.00 0.02	17.57 0.02	17.91 0.03	
56777.2	99.99 99.99	99.99 99.99	99.99 99.99	99.99 99.99	
56780.2	19.46 0.03	18.70 0.02	18.12 0.03	18.39 0.03	
