"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1161","2013-11-09 00:00:00.00","2456605.5","","MMT","MMT-Blue","Unknown","Unknown","","Y","","","2013ge_2013-11-09_00-00-00_MMT_MMT-Blue_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3442.3491","8574.3789","1.9469005311077","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1162","2013-11-10 00:00:00.00","2456606.5","","MMT","MMT-Blue","Unknown","Unknown","","Y","","","2013ge_2013-11-10_00-00-00_MMT_MMT-Blue_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3343.2116","8561.1962","1.9462829541216","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1163","2013-11-10 00:00:00.00","2456606.5","","MMT","MMT-Blue","Unknown","Unknown","","Y","","","2013ge_2013-11-10_00-00-00_MMT_MMT-Blue_None_0.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","5595.3455884213","6905.8843209342","0.4888245925076","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1164","2013-11-11 00:00:00.00","2456607.5","","MMT","MMT-Blue","Unknown","Unknown","","Y","","","2013ge_2013-11-11_00-00-00_MMT_MMT-Blue_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3500.3388","8280","1.9413733549959","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1165","2013-11-20 00:00:00.00","2456616.5","","Magellan-Baade","FIRE","Unknown","Unknown","","Y","","","2013ge_2013-11-20_00-00-00_Magellan-Baade_FIRE_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","8106.8","25026.101177","8.6322965188776","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1166","2013-11-21 00:00:00.00","2456617.5","","MMT","Hectospec","Unknown","Unknown","","Y","","","2013ge_2013-11-21_00-00-00_MMT_Hectospec_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3700","9150","1.1996478098173","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","48808","2013-11-28 11:25:26.00","2456624.9759954","","Lick-3m","KAST","Kelsey Clubb, Isaac Shivvers","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2013ge_2013-11-28_11-25-26_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3500","10500","1.9994287346472","","2019MNRAS.482.1545S","SNR: 52.1241;","WIS_Bot1","2019-01-23 10:48:35"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1167","2013-11-29 00:00:00.00","2456625.5","","MMT","Hectospec","Unknown","Unknown","","Y","","","2013ge_2013-11-29_00-00-00_MMT_Hectospec_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3700","9150","1.1996478098173","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1168","2013-11-30 00:00:00.00","2456626.5","","Magellan-Baade","FIRE","Unknown","Unknown","","Y","","","2013ge_2013-11-30_00-00-00_Magellan-Baade_FIRE_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","8087.2","25024.7","8.6152085452696","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1169","2013-12-06 00:00:00.00","2456632.5","","FLWO-1.5m","FAST","Unknown","Unknown","","Y","","","2013ge_2013-12-06_00-00-00_FLWO-1.5m_FAST_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3476","7415.6","1.4694516971279","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1170","2013-12-07 00:00:00.00","2456633.5","","FLWO-1.5m","FAST","Unknown","Unknown","","Y","","","2013ge_2013-12-07_00-00-00_FLWO-1.5m_FAST_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3478","7419.07","1.469451901566","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1171","2013-12-09 00:00:00.00","2456635.5","","Magellan-Baade","FIRE","Unknown","Unknown","","Y","","","2013ge_2013-12-09_00-00-00_Magellan-Baade_FIRE_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","8085.4","25002.2","8.6310204081633","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1172","2013-12-10 00:00:00.00","2456636.5","","FLWO-1.5m","FAST","Unknown","Unknown","","Y","","","2013ge_2013-12-10_00-00-00_FLWO-1.5m_FAST_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3473","7415.54","1.4694521058517","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1173","2013-12-13 00:00:00.00","2456639.5","","MDM-2.4","OSMOS","Unknown","Unknown","","Y","","","2013ge_2013-12-13_00-00-00_MDM-2.4_OSMOS_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","4023.4361","6892.0258","0.71876464545227","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1174","2013-12-24 00:00:00.00","2456650.5","","MMT","MMT-Blue","Unknown","Unknown","","Y","","","2013ge_2013-12-24_00-00-00_MMT_MMT-Blue_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3600","8500","1.9490851233095","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1175","2013-12-27 00:00:00.00","2456653.5","","MMT","MMT-Blue","Unknown","Unknown","","Y","","","2013ge_2013-12-27_00-00-00_MMT_MMT-Blue_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3328","8533.02","1.9392771982116","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1176","2013-12-28 00:00:00.00","2456654.5","","MMT","MMT-Blue","Unknown","Unknown","","Y","","","2013ge_2013-12-28_00-00-00_MMT_MMT-Blue_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3600","8500","1.9490851233095","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
