x,Curve1
0.761504,7.582e-17
0.763421,7.087e-17
0.764379,7.38e-17
0.765338,8.447e-17
0.766297,8.916e-17
0.767255,1.0205e-16
0.768214,1.0918e-16
0.769173,1.1681e-16
0.770131,1.2001e-16
0.772048,1.1217e-16
0.773007,1.0485e-16
0.774924,9.934e-17
0.776842,9.411e-17
0.778759,1.0069e-16
0.779717,1.0772e-16
0.781635,1.1525e-16
0.783552,1.137e-16
0.784511,1.0628e-16
0.785469,9.934e-17
0.786428,9.285e-17
0.787386,8.112e-17
0.788345,7.0876e-17
0.789304,6.6248e-17
0.790262,5.788e-17
0.791221,5.5582e-17
0.79218,6.2765e-17
0.793138,7.1841e-17
0.794097,8.223e-17
0.795055,1.0069e-16
0.796014,1.3192e-16
0.796973,1.6154e-16
0.797931,1.9782e-16
0.79889,2.6987e-16
0.799849,4.1019e-16
0.801287,4.8891e-16
0.802245,4.8235e-16
0.802725,4.5699e-16
0.803683,3.3048e-16
0.804162,3.7572e-16
0.804642,2.8873e-16
0.8056,2.3579e-16
0.806559,2.06e-16
0.807518,1.9255e-16
0.808476,1.8243e-16
0.809435,2.088e-16
0.810394,2.39e-16
0.811352,2.7356e-16
0.812311,3.1311e-16
0.813269,3.5839e-16
0.814228,3.8342e-16
0.815187,4.1021e-16
0.816145,4.3886e-16
0.817104,4.1579e-16
0.819021,3.6327e-16
0.81998,3.3955e-16
0.820938,3.1738e-16
0.821897,2.7728e-16
0.822856,2.5918e-16
0.823814,2.4226e-16
0.824773,2.1166e-16
0.825732,1.9784e-16
0.82669,1.8492e-16
0.827649,1.7284e-16
0.828607,1.6376e-16
0.829566,1.5306e-16
0.832442,1.5101e-16
0.834359,1.4307e-16
0.835318,1.3373e-16
0.836276,1.25e-16
0.837235,1.1684e-16
0.838194,1.0921e-16
0.839152,1.0347e-16
0.840111,9.671e-17
0.84107,9.04e-17
0.842987,8.449e-17
0.844904,8.336e-17
0.846821,8.919e-17
0.848739,9.542e-17
0.849697,1.0208e-16
0.851615,1.0488e-16
0.853532,9.803e-17
0.85449,9.163e-17
0.856408,9.04e-17
0.857366,9.542e-17
0.858325,1.0209e-16
0.859284,1.0922e-16
0.861201,1.1373e-16
0.862159,1.0775e-16
0.863118,1.0072e-16
0.864077,9.414e-17
0.865035,8.8e-17
0.865994,7.688e-17
0.866953,7.186e-17
0.867911,6.7168e-17
0.86887,6.6267e-17
0.869828,7.0897e-17
0.870787,8.115e-17
0.871746,9.288e-17
0.872704,9.804e-17
0.873663,1.1221e-16
0.874622,1.2005e-16
0.87558,1.2844e-16
0.876539,1.3196e-16
0.877497,1.2334e-16
0.878456,1.1529e-16
0.879415,1.0776e-16
0.880373,1.0072e-16
0.881332,9.415e-17
0.882291,8.8e-17
0.883249,9.289e-17
0.885166,9.937e-17
0.887084,1.0073e-16
0.889001,9.543e-17
0.890918,9.415e-17
0.893794,9.938e-17
0.894753,9.543e-17
0.895711,8.92e-17
0.89667,8.338e-17
0.897629,7.793e-17
0.898587,7.2845e-17
0.899546,6.3643e-17
0.901463,6.0297e-17
0.902422,6.9015e-17
0.90338,7.3837e-17
0.904339,7.899e-17
0.905298,9.042e-17
0.906256,9.165e-17
0.907215,8.566e-17
0.908174,8.116e-17
0.909132,7.586e-17
0.910091,7.0907e-17
0.911049,6.6277e-17
0.912008,6.195e-17
0.914884,6.3646e-17
0.916801,6.718e-17
0.920636,6.9958e-17
0.923512,7.091e-17
0.926387,7.485e-17
0.928305,7.3843e-17
0.930222,6.9961e-17
0.931181,6.5393e-17
0.933098,6.1123e-17
0.935015,5.7133e-17
0.936932,5.4129e-17
0.939808,5.6367e-17
0.941726,6.0305e-17
0.943643,6.4518e-17
0.94556,6.81e-17
0.947477,6.4519e-17
0.949395,6.1127e-17
0.950353,5.7136e-17
0.951312,6.1127e-17
0.95227,6.5398e-17
0.953229,7.485e-17
0.954188,9.166e-17
0.955146,1.0492e-16
0.956105,1.2009e-16
0.957064,1.3745e-16
0.958022,1.5733e-16
0.960898,1.2848e-16
0.961857,1.2009e-16
0.962815,1.0492e-16
0.963774,9.807e-17
0.964733,9.167e-17
0.965691,8.009e-17
0.967608,7.588e-17
0.969526,7.691e-17
0.972402,7.901e-17
0.97336,7.3855e-17
0.975277,6.9972e-17
0.976236,6.5403e-17
0.978153,6.1133e-17
0.981029,6.1134e-17
0.983905,6.3662e-17
0.984864,6.8109e-17
0.985822,7.2868e-17
0.98774,7.796e-17
0.988698,7.486e-17
0.989657,7.902e-17
0.990616,8.454e-17
0.992533,7.902e-17
0.99445,7.486e-17
0.996367,7.588e-17
0.997326,8.118e-17
0.999243,8.118e-17
1.00116,7.588e-17
1.002119,7.093e-17
1.003078,6.197e-17
1.004036,5.7924e-17
1.005954,5.4142e-17
1.006912,5.1295e-17
1.007871,4.7946e-17
1.009788,4.4815e-17
1.010747,4.1889e-17
1.012664,3.9687e-17
1.013623,3.4673e-17
1.014581,3.2409e-17
1.01554,2.8315e-17
1.016498,2.6826e-17
1.017457,2.3438e-17
1.018416,2.1907e-17
1.019374,1.914e-17
1.020333,1.94e-17
1.021292,2.0756e-17
1.02225,2.2206e-17
1.023209,2.3757e-17
1.024168,2.5416e-17
1.025126,2.9092e-17
1.026085,3.1124e-17
1.027043,3.5624e-17
1.028002,3.8113e-17
1.028961,4.3039e-17
1.029919,4.9262e-17
1.030878,5.6385e-17
1.031837,6.4539e-17
1.032795,7.903e-17
1.033754,9.046e-17
1.034712,1.1077e-16
1.035671,1.2679e-16
1.03663,1.4512e-16
1.037588,1.6611e-16
1.038547,1.7771e-16
1.040464,1.7298e-16
1.042381,1.4318e-16
1.04334,1.4126e-16
1.044299,1.5113e-16
1.045257,1.6168e-16
1.046216,1.7298e-16
1.047175,1.8506e-16
1.048133,2.0898e-16
1.049092,2.1762e-16
1.05005,2.0341e-16
1.051009,1.9013e-16
1.051968,1.7772e-16
1.052926,1.5527e-16
1.053885,1.4513e-16
1.054844,1.3565e-16
1.055802,1.1852e-16
1.056761,1.1078e-16
1.057719,9.679e-17
1.058678,9.047e-17
1.059637,8.011e-17
1.060595,7.488e-17
1.061554,6.5423e-17
1.063471,6.1152e-17
1.06443,5.7159e-17
1.068264,5.7937e-17
1.070182,5.489e-17
1.073058,5.2005e-17
1.075933,5.4892e-17
1.076892,6.2829e-17
1.077851,7.1914e-17
1.078809,8.806e-17
1.079768,1.0784e-16
1.080727,1.3205e-16
1.081685,1.5115e-16
1.082644,1.8509e-16
1.083602,1.9802e-16
1.084561,2.1185e-16
1.08552,2.0621e-16
1.086478,1.9274e-16
1.087437,1.8016e-16
1.089354,1.3567e-16
1.090313,1.2681e-16
1.091271,1.1079e-16
1.09223,1.0356e-16
1.094147,1.008e-16
1.096065,1.0784e-16
1.097982,1.0497e-16
1.099899,9.812e-17
1.100858,9.171e-17
1.101816,8.572e-17
1.102775,8.013e-17
1.103734,7.591e-17
1.104692,6.6323e-17
1.105651,6.1992e-17
1.106609,5.7945e-17
1.107568,5.4161e-17
1.108527,5.0625e-17
1.109485,4.732e-17
1.110444,4.423e-17
1.112361,4.5441e-17
1.11332,4.8616e-17
1.114279,5.2012e-17
1.115237,5.5646e-17
1.116196,5.9533e-17
1.117154,6.3692e-17
1.119072,7.1924e-17
1.120989,7.592e-17
1.124823,7.695e-17
1.126741,7.1926e-17
1.128658,6.8144e-17
1.130575,6.6329e-17
1.132492,7.0963e-17
1.135368,7.2906e-17
1.138244,7.592e-17
1.14112,8.014e-17
1.142079,7.695e-17
1.143037,7.8e-17
1.143996,8.345e-17
1.144955,8.928e-17
1.146872,8.574e-17
1.14783,8.014e-17
1.148789,7.491e-17
1.150706,7.0015e-17
1.152624,7.1933e-17
1.153582,7.696e-17
1.155499,8.233e-17
1.157417,8.809e-17
1.160293,9.05e-17
1.161251,8.459e-17
1.163169,7.907e-17
