x,Curve1
0.84417,0.26756
0.8458,0.28343
0.84743,0.30025
0.84907,0.31806
0.8507,0.3569
0.85233,0.37807
0.85723,0.43415
0.8605,0.4599
0.86213,0.4816
0.86703,0.49282
0.86866,0.46523
0.8703,0.43918
0.87193,0.41459
0.87356,0.39137
0.87519,0.36946
0.87683,0.32924
0.87846,0.31081
0.88009,0.27698
0.88173,0.24683
0.88336,0.21996
0.88499,0.19602
0.88663,0.17468
0.88826,0.1649
0.88989,0.14865
0.89152,0.13247
0.89316,0.11805
0.89479,0.11144
0.89969,0.10642
0.90459,0.10163
0.90785,0.10642
0.91112,0.11273
0.91275,0.11805
0.91765,0.12505
0.92255,0.1222
0.92418,0.11536
0.92745,0.1089
0.93072,0.104
0.93235,0.09931
0.93561,0.09375
0.93888,0.0885
0.94215,0.085493
0.94378,0.080706
0.94868,0.077964
0.95031,0.069477
0.95194,0.065587
0.95684,0.064092
0.96337,0.065587
0.96991,0.067116
0.97481,0.070282
0.9797,0.067894
0.9846,0.061914
0.98787,0.059125
0.9944,0.060504
0.99767,0.060504
1.00093,0.057116
1.00257,0.054543
1.0042,0.051489
1.00583,0.048606
1.00747,0.045884
1.0091,0.040889
1.01073,0.0386
1.01236,0.036439
1.014,0.032472
1.01563,0.030654
1.01726,0.029273
1.02053,0.026087
1.02543,0.024911
1.03033,0.0252
1.03523,0.026695
1.03686,0.027954
1.04012,0.029612
1.04176,0.033229
1.04339,0.0352
1.04829,0.041843
1.04992,0.044325
1.05156,0.046954
1.05319,0.049739
1.05482,0.052689
1.05645,0.055175
1.05809,0.058448
1.05972,0.061914
1.06135,0.065587
1.06299,0.069477
1.06625,0.073598
1.06788,0.077964
1.07115,0.081642
1.07605,0.086484
1.08095,0.08953
1.08585,0.09268
1.09075,0.09056
1.09565,0.086484
1.09891,0.081642
1.10054,0.07707
1.10218,0.072755
1.10544,0.069477
1.10708,0.065587
1.11034,0.061914
1.11524,0.063358
1.12014,0.066347
1.12341,0.069477
1.12667,0.073598
1.13157,0.076187
1.143,0.064835
1.14463,0.061205
1.14627,0.057778
1.1479,0.054543
1.14953,0.051489
1.1528,0.049169
1.1577,0.046954
1.16423,0.048606
1.1724,0.049169
1.17566,0.049169
1.17729,0.052085
1.18056,0.055175
1.18383,0.056461
1.18546,0.0533
1.18872,0.050899
1.19036,0.048049
1.19362,0.045358
1.19852,0.043817
1.20097,0.042572
1.20179,0.041363
1.20505,0.0395
1.20832,0.037288
1.20995,0.0352
1.21159,0.033229
1.21322,0.031369
1.21485,0.029955
1.21649,0.028278
1.21975,0.026695
1.22302,0.0252
1.22792,0.024626
1.23281,0.023789
1.23771,0.023247
1.24098,0.024344
1.24425,0.025492
1.24751,0.027004
1.25078,0.026389
1.25731,0.025788
1.26221,0.024626
1.26547,0.024626
1.27201,0.024344
1.27854,0.023516
1.28344,0.024344
1.28834,0.023789
1.29487,0.023247
1.3014,0.023516
1.30467,0.024911
1.3063,0.026389
1.30956,0.027954
1.3112,0.029273
1.31446,0.030303
1.31773,0.028938
1.321,0.025788
1.32426,0.024626
1.32589,0.023247
1.32916,0.021945
1.33079,0.020716
1.33406,0.019783
1.33896,0.018892
1.34386,0.01825
1.34876,0.017428
1.35202,0.016643
1.35529,0.017031
1.36182,0.017031
1.36345,0.018041
1.36835,0.018041
1.37162,0.01763
1.37815,0.017228
1.38305,0.018041
1.38795,0.017428
1.38958,0.016452
1.39121,0.015531
1.39611,0.015531
1.39938,0.015893
1.40428,0.015177
1.40754,0.015893
1.41407,0.016077
1.41897,0.016836
1.42224,0.01763
1.42551,0.018461
1.43204,0.019332
1.4353,0.020244
1.4402,0.0212
1.4451,0.022457
1.44837,0.023516
1.45327,0.023789
1.45816,0.024911
1.46306,0.026087
1.46633,0.027317
1.47449,0.031369
1.47613,0.033229
1.47939,0.0352
1.48103,0.036861
1.48429,0.039047
1.48593,0.041363
1.48756,0.043817
1.49082,0.045884
1.49246,0.048606
1.49409,0.051489
1.49572,0.054543
1.49736,0.057778
1.49899,0.061205
1.50062,0.064835
1.50389,0.068681
1.50879,0.05981
1.51042,0.056461
1.51205,0.0533
1.51369,0.050315
1.51532,0.047498
1.51695,0.044839
1.51858,0.042819
1.52022,0.038158
1.52185,0.036021
1.52348,0.034004
1.52512,0.0321
1.52838,0.030303
1.53002,0.028938
1.53491,0.027634
1.53981,0.026389
1.54635,0.026087
1.55288,0.027317
1.55778,0.027954
1.56104,0.029273
1.56431,0.030654
1.56757,0.032472
1.57084,0.034398
1.57247,0.036021
1.579,0.036861
1.58227,0.0352
1.58554,0.033229
1.59044,0.031009
1.5937,0.029612
1.5986,0.027954
1.60187,0.026695
1.60677,0.025492
1.61166,0.024344
1.61656,0.022981
1.61983,0.0222
1.62636,0.022457
1.62963,0.023789
1.63453,0.024626
1.63779,0.023247
1.64269,0.0222
1.64759,0.021445
1.65249,0.020716
1.65902,0.020012
1.66555,0.020244
1.67208,0.020957
1.67698,0.021694
1.68188,0.020479
1.68678,0.0212
1.69331,0.0212
1.69658,0.0222
1.70148,0.023247
1.71291,0.024626
1.71617,0.023247
1.71944,0.0222
1.72271,0.020957
1.72597,0.020012
1.73087,0.019111
1.73904,0.019557
1.74557,0.019557
1.75047,0.018675
1.757,0.018041
1.76353,0.01825
1.77006,0.017834
1.77496,0.018461
1.78149,0.018041
1.78639,0.01763
1.79129,0.017228
1.79782,0.01763
1.80272,0.018041
1.80762,0.018041
1.81089,0.017228
1.81415,0.016263
1.81742,0.015531
1.82068,0.014661
1.82558,0.015003
1.83048,0.015003
1.83701,0.014661
1.84191,0.014661
1.84844,0.014163
1.85171,0.013682
1.85498,0.012915
1.85661,0.012192
1.85824,0.01151
1.86151,0.011778
1.86314,0.012477
1.86477,0.013217
1.86641,0.01384
1.86967,0.014163
1.87131,0.012621
1.87294,0.011247
1.87784,0.011118
1.87947,0.011643
1.8811,0.012053
1.88437,0.012192
1.88764,0.012768
1.8909,0.013217
1.8958,0.012915
1.90233,0.01337
1.9056,0.013065
1.91213,0.012768
1.91703,0.013217
1.92193,0.012768
1.92846,0.013217
1.93663,0.013065
1.94152,0.013065
1.94969,0.011247
1.95295,0.010618
1.95622,0.010139
1.95949,0.009572
1.96275,0.00914
1.96602,0.0086285
1.97092,0.0083353
1.97582,0.0079598
1.97908,0.0076012
1.98235,0.0071756
1.98561,0.0070121
1.99051,0.0071756
1.99541,0.007428
1.99868,0.0077784
2.00194,0.0082398
2.00521,0.0081454
2.01174,0.0085296
2.01827,0.0085296
2.02481,0.00883
2.0297,0.0085296
2.03624,0.0086285
2.04277,0.008729
2.0493,0.008729
2.05583,0.0086285
2.06236,0.008729
2.07053,0.008932
2.07706,0.00914
2.08359,0.009462
2.09012,0.009795
2.09829,0.009908
2.10319,0.010257
2.10972,0.010618
2.11625,0.010618
2.12115,0.010139
2.12442,0.009682
2.13258,0.009572
2.13911,0.009353
2.14565,0.00914
2.15381,0.009353
2.16034,0.009795
2.16524,0.009908
2.17014,0.010376
2.17341,0.010741
2.1783,0.011247
2.18484,0.011778
2.1881,0.012334
2.19137,0.013065
2.19627,0.013682
2.19953,0.014493
2.20443,0.015177
2.20933,0.014831
2.2126,0.014163
2.21586,0.01337
2.22076,0.012768
2.22403,0.012053
2.22729,0.01151
2.23219,0.010991
2.23546,0.010496
2.24199,0.010376
2.24689,0.010139
2.25995,0.010618
2.26649,0.010496
2.27302,0.010865
2.27792,0.011247
2.28281,0.011915
2.28445,0.012477
