x,Curve1
0.39951,0.21192
0.40116,0.23778
0.40281,0.24899
0.40609,0.26989
0.4077,0.24613
0.40933,0.24052
0.41258,0.21934
0.4138,0.21621
0.41708,0.23034
0.42034,0.22123
0.42238,0.22704
0.42685,0.20291
0.42892,0.23232
0.43095,0.21994
0.4338,0.20943
0.43705,0.1932
0.43707,0.21867
0.4387,0.21679
0.44075,0.21993
0.44444,0.24535
0.44445,0.24963
0.4469,0.25179
0.44854,0.26671
0.45019,0.28252
0.45184,0.29926
0.45348,0.31337
0.45676,0.33194
0.45676,0.33578
0.46003,0.35161
0.46165,0.32065
0.46166,0.33966
0.46167,0.3598
0.46325,0.27925
0.46326,0.28576
0.46326,0.29581
0.46327,0.3027
0.46491,0.31334
0.46491,0.31697
0.46817,0.3062
0.46979,0.28906
0.47305,0.27603
0.47466,0.25465
0.47467,0.26058
0.4763,0.25759
0.47793,0.25172
0.47957,0.26359
0.48119,0.25172
0.48283,0.25758
0.48445,0.24598
0.48607,0.23221
0.48769,0.21921
0.49101,0.27759
0.49103,0.29831
0.49347,0.29235
0.49428,0.27918
0.49753,0.2666
0.49915,0.25168
0.50078,0.23759
0.5024,0.22952
0.50405,0.24312
0.50732,0.25753
0.51103,0.29231
0.51552,0.30083
0.51716,0.30607
0.52084,0.3141
0.52534,0.3289
0.52862,0.35141
0.53107,0.34738
0.53556,0.34937
0.54167,0.32791
0.5433,0.32415
0.54494,0.3317
0.54983,0.31675
0.55143,0.27269
0.55182,0.25669
0.55305,0.25743
0.5567,0.23207
0.55752,0.23207
0.5587,0.1897
0.55872,0.20982
0.55949,0.1725
0.56273,0.15066
0.56438,0.15868
0.56764,0.15506
0.56765,0.16425
0.56929,0.17399
0.57258,0.19188
0.57424,0.21717
0.57425,0.23271
0.57794,0.24864
0.57959,0.27029
0.58002,0.28796
0.58207,0.30241
0.58247,0.28879
0.58576,0.32403
0.58657,0.31848
0.59106,0.32683
0.59392,0.32401
0.59554,0.30588
0.59717,0.29891
0.60043,0.28544
0.60368,0.26946
0.60694,0.26331
0.61021,0.26944
0.61512,0.2789
0.61512,0.2854
0.61838,0.2789
0.62166,0.29542
0.6233,0.3023
0.62493,0.29884
0.6282,0.30934
0.6331,0.30228
0.63637,0.3129
0.64126,0.2988
0.64289,0.29199
0.64778,0.27883
0.65267,0.27562
0.66081,0.24003
0.66243,0.22659
0.66406,0.22143
0.66406,0.22399
0.66731,0.21145
0.673,0.18361
0.67545,0.18414
0.68034,0.17788
0.6836,0.17382
0.68525,0.18413
0.68852,0.1928
0.6918,0.20189
0.69343,0.19957
0.69343,0.20189
0.69507,0.20422
0.69833,0.20188
0.70487,0.20657
0.70487,0.20896
0.7065,0.2042
0.70976,0.20186
0.7114,0.20656
0.71467,0.21629
0.71918,0.23512
0.72205,0.24691
0.72287,0.25413
0.72288,0.2608
0.7237,0.2608
0.72655,0.26004
0.72981,0.2469
0.73061,0.22843
0.73428,0.22322
0.73753,0.21378
0.73957,0.20533
0.74077,0.18833
0.742,0.18942
0.74566,0.18193
0.74852,0.17778
0.74891,0.16591
0.7538,0.16027
0.75584,0.16072
0.75706,0.15304
0.7587,0.16212
0.76238,0.16685
0.76361,0.16781
0.76854,0.19491
0.77345,0.20409
0.77957,0.20349
0.78242,0.19321
0.78243,0.20823
0.78447,0.20115
0.78485,0.17773
0.78811,0.16972
0.78973,0.16022
0.79056,0.16971
0.79298,0.153
0.79459,0.13635
0.79621,0.12872
0.79782,0.11604
0.79944,0.10955
0.80109,0.11471
0.80434,0.10954
0.80758,0.0943
0.80795,0.078431
0.8092,0.08903
0.81082,0.084042
0.81244,0.079337
0.81565,0.060173
0.81853,0.068497
0.81892,0.063009
0.81892,0.063739
0.82055,0.060171
0.82216,0.055509
0.82217,0.056803
0.82381,0.058799
0.82545,0.062284
0.82546,0.065977
0.82711,0.069087
0.82875,0.073181
0.83001,0.085987
0.83037,0.069085
0.83165,0.08774
0.83166,0.09267
0.8329,0.10045
0.83535,0.10103
0.83701,0.11206
0.83828,0.14232
0.83865,0.11871
0.84076,0.16154
0.84076,0.1653
0.84078,0.17919
0.84366,0.19875
0.84488,0.1909
0.84489,0.20338
0.8453,0.20456
0.84531,0.21482
0.84614,0.23152
0.84697,0.24737
0.84821,0.26737
0.84945,0.28322
0.85151,0.31055
0.85316,0.32519
0.8548,0.33856
0.85644,0.3535
0.85767,0.37231
0.86218,0.3955
