PTF15dtg	0.0 0.0 0.0
filter g
57333.431 19.634 0.162
57334.431 19.72 0.029
57335.431 19.943 0.027
57337.448 20.383 0.082
57337.46 20.412 0.278
57338.084 20.288 0.109
57339.433 20.046 0.012
57340.084 20.028 0.071
57340.436 20.022 0.015
57343.441 19.427 0.012
57344.441 19.494 0.049
57345.451 19.318 0.021
57346.159 19.392 0.027
57346.259 19.363 0.005
57347.238 19.259 0.004
57348.078 19.293 0.013
57348.25 19.306 0.05
57349.097 19.268 0.045
57349.327 19.12 0.053
57355.15 19.207 0.015
57356.093 19.187 0.036
57356.134 19.165 0.001
57357.095 19.242 0.001
57358.091 19.245 0.055
57359.115 19.24 0.01
57359.182 19.284 0.007
57360.216 19.307 0.008
57361.088 19.257 0.046
57363.078 19.331 0.037
57365.104 19.395 0.03
57365.112 19.332 0.01
57367.079 19.391 0.069
57369.076 19.475 0.05
57374.136 19.565 0.021
57379.917 19.942 0.088
57385.939 19.944 0.022
57389.134 19.998 0.03
57392.847 20.099 0.024
57397.848 20.177 0.045
57399.916 20.292 0.022
57401.125 20.195 0.032
57409.907 20.414 0.093
57412.859 20.526 0.043
57413.115 20.411 0.002
57416.129 20.422 0.003
57423.169 20.465 0.006
57424.135 20.424 0.022
57427.155 20.434 0.243
57430.139 20.376 0.089
57444.191 20.645 0.001
57448.12 20.683 0.001
57451.142 20.62 0.068
57457.84 20.727 0.032
57462.856 20.768 0.032
  57642.4000 20.95 0.24
  57656.4900 20.94 0.30
  57662.4900 20.72 0.16
  57665.4800 20.74 0.07
  57668.4700 20.70 0.29
  57671.5300 20.44 0.29
  57674.4800 20.73 0.21
  57687.4000 21.23 0.34
  57693.3900 20.78 0.18
  57694.0500 21.26 0.08
  57694.4100 21.20 0.36
  57695.4000 20.80 0.29
  57696.3800 21.01 0.20
  57697.4100 20.89 0.19
  57698.3800 20.81 0.16
  57699.3700 21.04 0.29
  57700.4000 21.03 0.30
  57821.8700 21.42 0.20
  57985.0800 22.02 0.19
  58012.1300 21.54 0.07
  58023.0600 21.54 0.08
  58044.0400 21.93 0.17
  58052.3500 21.56 0.10
  58052.3500 21.57 0.15
  58056.2100 22.02 0.16
  58077.0500 22.26 0.18
  58114.9200 22.51 0.21
  58170.8500 22.84 0.18
filter r
57335.16 19.968 0.026
57337.45 20.156 0.097
57338.086 20.208 0.129
57340.086 19.68 0.061
57346.161 19.13 0.002
57348.08 18.95 0.005
57349.099 18.944 0.038
57355.152 18.734 0.019
57356.095 18.735 0.029
57357.097 18.735 0.011
57358.094 18.688 0.046
57359.184 18.706 0.007
57360.218 18.706 0.02
57361.09 18.685 0.036
57363.08 18.675 0.031
57365.113 18.654 0.019
57367.082 18.666 0.051
57369.078 18.707 0.034
57379.919 18.831 0.038
57385.942 18.916 0.014
57392.851 19.041 0.024
57397.853 19.142 0.042
57399.921 19.186 0.014
57409.913 19.415 0.054
57412.866 19.344 0.019
57413.118 19.292 0.001
57416.134 19.329 0.001
57420.163 19.328 0.004
57423.174 19.377 0.001
57441.114 19.63 0.002
57444.196 19.724 0.001
57448.125 19.697 0.002
57451.135 19.65 0.07
57457.849 19.713 0.024
57462.872 19.697 0.026
  57626.5000 20.07 0.18
  57629.4900 20.35 0.12
  57632.4800 20.40 0.17
  57635.4900 20.37 0.16
  57641.5200 20.31 0.23
  57642.5100 20.19 0.11
  57662.5200 20.35 0.17
  57668.5200 20.39 0.26
  57671.4900 20.26 0.13
  57674.4600 20.54 0.15
  57681.4500 20.76 0.35
  57682.4500 20.37 0.28
  57683.4200 20.57 0.20
  57684.4500 20.81 0.33
  57687.4400 20.93 0.26
  57694.0500 20.58 0.04
  57694.4500 20.59 0.27
  57695.4400 20.58 0.26
  57696.4200 20.68 0.29
  57697.4500 20.63 0.23
  57698.4300 20.87 0.26
  57699.4100 20.30 0.21
  57700.4400 20.75 0.36
  57701.4100 20.69 0.33
  57715.2400 20.72 0.20
  57718.2300 20.88 0.28
  57819.1900 20.66 0.19
  57821.8800 20.98 0.13
  57985.0900 21.60 0.07
  58012.1500 21.31 0.07
  58023.0700 21.83 0.13
  58044.0500 21.72 0.13
  58052.3400 21.83 0.29
  58056.2200 21.70 0.12
  58067.1400 22.12 0.23
  58077.0700 21.99 0.10
  58092.9200 22.08 0.20
  58114.9400 22.35 0.15
filter i
57335.162 20.308 0.037
57337.453 20.671 0.122
57340.089 20.499 0.1
57346.164 19.465 0.036
57348.082 19.324 0.01
57349.102 19.257 0.028
57355.155 19.084 0.008
57356.098 19.027 0.027
57357.099 19.018 0.024
57358.096 18.977 0.033
57359.187 18.946 0.02
57360.221 18.917 0.016
57361.092 18.911 0.052
57363.082 18.908 0.027
57365.116 18.857 0.026
57367.084 18.846 0.053
57369.081 18.896 0.03
57379.921 19.051 0.035
57385.943 19.031 0.025
57392.855 19.087 0.026
57397.857 19.274 0.041
57399.924 19.244 0.043
57409.917 19.213 0.059
57412.872 19.44 0.023
57413.123 19.429 0.001
57416.139 19.472 0.001
57420.178 19.442 0.001
57423.179 19.562 0.007
57441.119 19.784 0.003
57444.201 19.801 0.001
57448.139 19.877 0.001
57451.138 19.96 0.084
57457.855 19.905 0.022
57462.878 19.838 0.031
  57694.0500 20.73 0.05
  57821.8800 21.22 0.16
  57985.0900 21.97 0.11
  58012.1400 21.48 0.07
  58023.0800 21.25 0.05
  58044.0600 22.12 0.23
  58052.3500 22.20 0.13
  58056.2300 22.33 0.21
  58114.9300 22.56 0.19
  58170.8400 22.87 0.21
#Data sources:
#2016A&A...592A..89T Taddia et al. (2016)
#Data sources:
#2018arXiv180610000T Taddia et al. (2018)
