Wavelength(nm)	T%
1100		0.000373711
1099.5		0.000917017
1099		0.000559296
1098.5		0.000524658
1098		0.001257685
1097.5		0.000761957
1097		0.000856466
1096.5		0.001318393
1096		0.001118149
1095.5		0.000860482
1095		0.000761834
1094.5		0.000517235
1094		0.00159021
1093.5		0.000640267
1093		0.000911012
1092.5		0.00165059
1092		0.00148549
1091.5		0.001260556
1091		0.00104165
1090.5		0.001203264
1090		0.001409836
1089.5		0.000957481
1089		0.001204436
1088.5		0.001549348
1088		0.001552494
1087.5		0.00143471
1087		0.001492514
1086.5		0.001473952
1086		0.001252356
1085.5		0.001073216
1085		0.001234323
1084.5		0.000675842
1084		0.001085647
1083.5		0.001360901
1083		0.001549794
1082.5		0.001301856
1082		0.000865324
1081.5		0.001654516
1081		0.001410559
1080.5		0.001220049
1080		0.001337516
1079.5		0.001616758
1079		0.001426743
1078.5		0.001049441
1078		0.001071927
1077.5		0.001399507
1077		0.001584815
1076.5		0.001610561
1076		0.001512911
1075.5		0.001708558
1075		0.001068911
1074.5		0.001764153
1074		0.001204773
1073.5		0.001541126
1073		0.001678019
1072.5		0.001314447
1072		0.000981169
1071.5		0.000987553
1071		0.001520722
1070.5		0.001570163
1070		0.000973835
1069.5		0.001277635
1069		0.001073026
1068.5		0.001278275
1068		0.001143787
1067.5		0.001717592
1067		0.001030805
1066.5		0.001162737
1066		0.001908618
1065.5		0.001302702
1065		0.001361622
1064.5		0.001670438
1064		0.000819158
1063.5		0.001569086
1063		0.001076288
1062.5		0.000688488
1062		0.000953369
1061.5		0.000764028
1061		0.00076173
1060.5		0.001176904
1060		0.001091988
1059.5		0.000568182
1059		0.001045
1058.5		0.001269366
1058		0.001786944
1057.5		0.001277513
1057		0.000725678
1056.5		0.001072261
1056		0.0012629
1055.5		0.001160043
1055		0.001183635
1054.5		0.000902996
1054		0.000892957
1053.5		0.001092733
1053		0.001094503
1052.5		0.001582045
1052		0.000459763
1051.5		0.00135736
1051		0.000994932
1050.5		0.001339965
1050		0.000795086
1049.5		0.001386625
1049		0.001743939
1048.5		0.001069978
1048		0.00140988
1047.5		0.001093803
1047		0.000994971
1046.5		0.00091448
1046		0.001605721
1045.5		0.000629162
1045		0.000924408
1044.5		0.001131231
1044		0.00078791
1043.5		0.001126788
1043		0.000763361
1042.5		0.000854764
