# JD m dm uJy duJy F err chi/N RA Dec x y maj min phi apfit mag5sig Sky Obs
2459733.086776 15.751 0.013 1818 23 c 0 2.24 8.69039 -8.38667 5975.11 1273.11 2.8 2.56 14.0 -0.392 19.08 20.59 02a59732o0752c
2459733.095272 15.696 0.011 1912 22 c 0 2.73 8.69039 -8.38667 5991.33 1311.63 2.43 2.35 -3.7 -0.41 19.28 20.65 02a59732o0769c
2459733.109249 15.707 0.013 1893 25 c 0 1.6 8.69039 -8.38667 5936.9 1232.66 2.57 2.41 25.9 -0.4 18.92 20.1 02a59732o0799c
2459733.113363 15.718 0.017 1873 32 c 0 1.37 8.69039 -8.38667 5916.45 1348.79 2.57 2.42 25.5 -0.394 18.43 19.48 02a59732o0808c
2459737.085011 15.568 0.011 2153 23 c 0 2.07 8.69039 -8.38667 5974.02 1271.99 2.46 2.35 36.0 -0.408 19.27 20.67 02a59736o0747c
2459737.101626 15.54 0.011 2208 24 c 0 2.29 8.69039 -8.38667 5990.88 1310.16 2.46 2.35 50.3 -0.405 19.27 20.64 02a59736o0783c
2459737.104413 15.529 0.01 2230 22 c 0 2.08 8.69039 -8.38667 5930.95 1231.67 2.52 2.32 51.5 -0.399 19.22 20.54 02a59736o0789c
2459737.114955 15.579 0.018 2129 39 c 0 1.22 8.69039 -8.38667 5911.74 1347.69 2.5 2.34 35.7 -0.39 18.12 19.1 02a59736o0812c
2459769.088545 15.091 0.007 3340 24 c 0 3.54 8.69039 -8.38667 8036.51 3114.36 2.54 2.33 34.0 -0.4 19.6 21.31 02a59768o0730c
2459769.106734 15.087 0.008 3350 26 c 0 2.91 8.69039 -8.38667 8055.51 3152.88 2.45 2.36 38.8 -0.403 19.43 21.03 02a59768o0770c
2459769.115824 15.089 0.01 3346 35 c 0 2.31 8.69039 -8.38667 7996.96 3074.05 2.51 2.39 26.5 -0.394 18.74 19.88 02a59768o0790c
2459785.069932 15.314 0.008 2719 23 c 0 4.56 8.69039 -8.38667 4152.04 3300.51 2.56 2.34 31.4 -0.414 19.54 21.15 02a59784o0716c
2459785.073097 15.314 0.008 2720 22 c 0 3.59 8.69039 -8.38667 4170.79 3338.71 2.62 2.39 32.0 -0.408 19.52 21.15 02a59784o0723c
2459785.078548 15.292 0.008 2775 22 c 0 4.51 8.69039 -8.38667 4112.18 3261.64 2.53 2.29 35.8 -0.42 19.55 21.16 02a59784o0735c
2459785.097137 15.3 0.008 2755 21 c 0 6.89 8.69039 -8.38667 4092.25 3376.07 2.59 2.34 30.5 -0.414 19.53 21.16 02a59784o0776c
2459785.564784 15.323 0.008 2697 20 c 0 8.88 8.69039 -8.38667 4334.09 5362.82 2.81 2.33 3.6 -0.373 19.72 21.76 03a59785o0743c
2459785.567595 15.31 0.008 2728 20 c 0 11.89 8.69039 -8.38667 4314.76 5324.7 2.54 2.32 4.1 -0.384 19.78 21.79 03a59785o0749c
2459785.57441 15.33 0.008 2678 21 c 0 7.75 8.69039 -8.38667 4368.78 5405.41 2.89 2.33 2.8 -0.369 19.73 21.77 03a59785o0764c
