# JD m dm uJy duJy F err chi/N RA Dec x y maj min phi apfit mag5sig Sky Obs
2459725.65848 14.786 0.007 4422 30 o 0 8.98 8.69039 -8.38667 368.68 1625.92 2.24 2.04 -43.0 -0.433 19.19 20.09 03a59725o0984o
2459725.665683 14.775 0.007 4465 30 o 0 10.31 8.69039 -8.38667 348.91 1584.87 2.21 2.03 -42.3 -0.443 19.15 20.0 03a59725o0998o
2459725.682602 14.796 0.012 4381 52 o 0 2.5 8.69039 -8.38667 405.64 1664.96 2.15 1.98 -52.6 -0.436 18.04 17.76 03a59725o1033o
2459737.655348 14.867 0.007 4103 30 o 0 9.08 8.69039 -8.38667 6149.58 1488.17 2.37 2.08 -48.4 -0.433 19.33 20.46 03a59737o0971o
2459737.673887 14.861 0.008 4126 31 o 0 6.73 8.69039 -8.38667 6131.06 1450.32 2.33 2.16 -48.1 -0.441 19.07 19.89 03a59737o1007o
2459737.685404 14.882 0.015 4046 59 o 0 1.43 8.69039 -8.38667 6187.3 1529.34 2.35 2.15 -50.2 -0.452 17.92 17.67 03a59737o1030o
2459745.083906 14.578 0.009 5355 48 o 0 2.56 8.69039 -8.38667 10081.52 4976.26 2.79 2.29 11.2 -0.444 18.26 18.62 02a59744o0739o
2459745.095868 14.517 0.009 5667 50 o 0 1.53 8.69039 -8.38667 10098.65 5014.37 2.57 2.26 10.4 -0.427 18.37 18.74 02a59744o0765o
2459745.10648 14.563 0.008 5430 46 o 0 1.94 8.69039 -8.38667 10041.15 4936.41 2.82 2.43 8.7 -0.414 18.32 18.75 02a59744o0788o
2459745.110141 14.538 0.008 5557 47 o 0 2.17 8.69039 -8.38667 10021.09 5052.95 2.81 2.45 2.9 -0.422 18.23 18.65 02a59744o0796o
2459747.092362 14.489 0.009 5811 50 o 0 3.44 8.69039 -8.38667 578.86 7633.56 3.07 2.75 -47.9 -0.425 18.55 19.25 01a59746o0764o
2459747.096507 14.52 0.009 5650 49 o 0 2.54 8.69039 -8.38667 559.84 7595.43 3.26 2.87 -43.5 -0.401 18.51 19.27 01a59746o0773o
2459747.103434 14.494 0.008 5787 46 o 0 4.04 8.69039 -8.38667 622.23 7673.65 2.95 2.7 -45.9 -0.429 18.61 19.3 01a59746o0788o
2459747.115947 14.496 0.019 5778 111 o 0 1.77 8.69039 -8.38667 642.75 7554.67 3.19 2.91 -50.7 -0.403 18.02 18.35 01a59746o0815o
2459754.083625 14.482 0.005 5853 32 o 0 14.86 8.69039 -8.38667 8345.47 8938.07 2.1 2.08 7.2 -0.446 19.3 20.11 02a59753o0724o
2459754.086763 14.464 0.006 5951 35 o 0 13.39 8.69039 -8.38667 8365.28 8977.22 2.16 2.12 5.0 -0.439 19.28 20.1 02a59753o0730o
2459754.096618 14.463 0.005 5952 32 o 0 23.67 8.69039 -8.38667 8306.44 8898.76 2.16 2.11 34.2 -0.443 19.31 20.09 02a59753o0750o
2459754.102264 14.454 0.005 6003 32 o 0 10.51 8.69039 -8.38667 8287.95 9015.36 2.2 2.07 -58.8 -0.442 19.31 20.03 02a59753o0762o
2459755.087807 14.434 0.006 6112 37 o 0 9.44 8.69039 -8.38667 180.74 1800.63 2.82 2.62 -57.3 -0.609 19.18 20.41 01a59754o0747o
2459755.092515 14.483 0.006 5844 35 o 0 7.28 8.69039 -8.38667 10390.09 1644.97 2.92 2.62 -49.9 -0.513 19.14 20.35 01a59754o0756o
2459755.100392 14.475 0.006 5889 33 o 0 9.45 8.69039 -8.38667 10371.33 1606.53 3.0 2.67 -54.1 -0.489 19.14 20.32 01a59754o0773o
2459755.101773 14.464 0.006 5948 36 o 0 8.94 8.69039 -8.38667 161.41 1761.01 2.84 2.63 -54.0 -0.603 19.18 20.39 01a59754o0776o
2459755.11055 14.455 0.006 5996 38 o 0 6.85 8.69039 -8.38667 10431.5 1679.75 2.84 2.59 -54.6 -0.53 18.96 19.89 01a59754o0795o
2459755.11193 14.427 0.006 6153 36 o 0 14.0 8.69039 -8.38667 221.93 1838.54 2.7 2.52 -50.4 -0.631 18.96 19.82 01a59754o0798o
2459755.118322 14.481 0.009 5857 54 o 0 3.31 8.69039 -8.38667 10452.83 1556.42 3.0 2.64 -54.0 -0.507 18.12 18.38 01a59754o0811o
2459755.119704 14.467 0.011 5934 68 o 0 2.85 8.69039 -8.38667 240.83 1720.46 2.85 2.58 -49.3 -0.63 18.02 18.15 01a59754o0814o
2459767.090861 14.63 0.006 5103 30 o 0 5.23 8.69039 -8.38667 6276.92 5321.72 2.72 2.65 -11.0 -0.464 19.38 20.81 01a59766o0756o
2459767.112784 14.646 0.008 5030 40 o 0 3.4 8.69039 -8.38667 6261.8 5279.72 2.8 2.72 -10.0 -0.462 18.59 19.53 01a59766o0803o
2459767.115975 14.631 0.01 5099 48 o 0 1.57 8.69039 -8.38667 6321.47 5355.96 2.79 2.71 -29.8 -0.465 18.48 19.24 01a59766o0810o
2459767.120294 14.64 0.011 5059 53 o 0 1.75 8.69039 -8.38667 6338.67 5238.4 2.87 2.68 26.6 -0.454 18.03 18.33 01a59766o0819o
2459769.615302 14.702 0.006 4776 31 o 0 4.04 8.69039 -8.38667 8578.37 3804.63 3.03 2.3 2.2 -0.414 19.24 20.72 03a59769o0775o
2459769.625503 14.684 0.007 4859 33 o 0 2.35 8.69039 -8.38667 8555.64 3768.18 4.71 2.6 3.6 -0.382 18.99 20.82 03a59769o0796o
2459769.640316 14.707 0.006 4754 30 o 0 3.83 8.69039 -8.38667 8613.39 3849.95 3.17 2.29 -0.2 -0.43 19.29 20.86 03a59769o0827o
2459769.6452120002 14.698 0.007 4794 33 o 0 3.59 8.69039 -8.38667 8630.46 3734.9 3.71 2.34 0.5 -0.399 19.21 20.86 03a59769o0836o
2459771.08649 14.703 0.006 4775 30 o 0 3.4 8.69039 -8.38667 5994.67 1446.48 3.18 2.95 14.0 -0.414 19.25 20.81 01a59770o0748o
2459771.106603 14.714 0.006 4726 30 o 0 3.74 8.69039 -8.38667 5974.11 1401.82 3.06 2.87 3.5 -0.43 19.26 20.75 01a59770o0792o
2459771.1107820002 14.711 0.007 4737 32 o 0 2.81 8.69039 -8.38667 6034.19 1478.9 3.22 2.94 8.4 -0.423 19.16 20.57 01a59770o0801o
2459771.120222 14.734 0.009 4640 41 o 0 1.48 8.69039 -8.38667 6050.12 1356.67 3.49 2.98 5.6 -0.411 18.3 18.97 01a59770o0821o
2459773.062711 14.678 0.007 4883 33 o 0 8.39 8.69039 -8.38667 4375.03 7170.03 2.31 1.8 28.3 -0.418 18.95 19.37 02a59772o0688o
2459773.065876 14.7 0.007 4786 33 o 0 7.59 8.69039 -8.38667 4393.94 7208.79 2.46 1.93 29.3 -0.408 18.93 19.4 02a59772o0695o
2459773.072219 14.666 0.006 4938 32 o 0 4.12 8.69039 -8.38667 4337.19 7131.18 2.29 1.85 24.4 -0.424 18.98 19.45 02a59772o0709o
2459773.085408 14.688 0.006 4838 30 o 0 12.12 8.69039 -8.38667 4316.64 7247.08 2.33 1.87 25.3 -0.42 19.08 19.62 02a59772o0738o
2459773.592369 14.685 0.008 4854 38 o 0 3.09 8.69039 -8.38667 8589.47 3806.16 2.51 2.33 13.2 -0.45 18.69 19.21 03a59773o0758o
2459773.595561 14.675 0.007 4896 33 o 0 4.77 8.69039 -8.38667 8570.1 3768.09 2.8 2.46 3.4 -0.426 18.6 19.21 03a59773o0765o
2459773.600515 14.689 0.01 4835 46 o 0 1.28 8.69039 -8.38667 8625.62 3847.29 3.8 2.5 1.7 -0.38 18.47 19.23 03a59773o0776o
2459773.607298 14.678 0.008 4882 38 o 0 3.49 8.69039 -8.38667 8647.71 3732.18 2.53 2.3 2.8 -0.44 18.74 19.26 03a59773o0791o
2459775.032452 14.748 0.01 4581 44 o 0 1.58 8.69039 -8.38667 5990.52 1455.09 3.11 3.03 -12.0 -0.44 18.33 19.02 01a59774o0629o
2459775.038699 14.764 0.009 4511 40 o 0 1.88 8.69039 -8.38667 5973.04 1415.21 3.18 2.99 18.1 -0.43 18.36 19.08 01a59774o0641o
2459775.042355 14.749 0.009 4574 42 o 0 1.54 8.69039 -8.38667 6030.78 1491.08 3.36 3.13 -4.9 -0.421 18.33 19.09 01a59774o0649o
2459775.052855 14.75 0.009 4570 42 o 0 1.76 8.69039 -8.38667 6049.75 1372.06 3.11 2.95 -2.2 -0.44 18.43 19.15 01a59774o0672o
2459776.488814 14.671 0.053 4914 261 o 0 1.12 8.69039 -8.38667 8770.93 9611.31 2.87 2.32 -42.2 -0.404 16.47 16.09 03a59776o0629o
2459776.492026 14.759 0.015 4531 67 o 0 1.8 8.69039 -8.38667 8751.39 9572.6 2.72 2.22 -45.1 -0.397 17.73 17.69 03a59776o0636o
2459776.497926 14.803 0.013 4354 54 o 0 3.07 8.69039 -8.38667 8809.42 9651.6 2.71 2.13 -41.7 -0.405 18.07 17.99 03a59776o0649o
2459776.516458 14.762 0.009 4519 43 o 0 4.33 8.69039 -8.38667 8827.79 9534.24 2.63 2.08 -43.7 -0.408 18.46 18.53 03a59776o0687o
2459777.50878 14.747 0.013 4583 60 o 0 1.67 8.69039 -8.38667 8774.55 9608.65 2.79 2.57 -30.0 -0.395 17.97 17.96 03a59777o0696o
2459777.51152 14.797 0.012 4379 54 o 0 1.58 8.69039 -8.38667 8753.93 9570.09 2.74 2.44 -40.7 -0.397 18.02 17.96 03a59777o0702o
2459777.525992 14.781 0.012 4442 55 o 0 1.93 8.69039 -8.38667 8804.73 9650.19 2.7 2.26 -43.6 -0.399 18.17 18.06 03a59777o0734o
2459777.531868 14.804 0.011 4351 49 o 0 2.45 8.69039 -8.38667 8826.85 9533.44 2.56 2.29 -42.2 -0.397 18.19 18.12 03a59777o0747o
2459781.607687 14.961 0.007 3765 28 o 0 5.39 8.69039 -8.38667 8752.89 9629.38 2.33 2.2 -39.0 -0.426 19.34 20.35 03a59781o0791o
2459781.610563 14.955 0.007 3785 26 o 0 10.39 8.69039 -8.38667 8733.79 9590.53 2.34 2.15 -41.1 -0.418 19.35 20.36 03a59781o0797o
2459781.616066 14.972 0.007 3725 27 o 0 11.55 8.69039 -8.38667 8789.44 9671.11 2.35 2.1 -37.3 -0.434 19.38 20.38 03a59781o0809o
2459781.632862 14.957 0.008 3776 29 o 0 4.17 8.69039 -8.38667 1652.58 942.06 2.18 1.99 -32.7 -0.442 19.32 20.3 03a59781o0845o
2459783.814636 14.945 0.007 3819 28 o 0 10.85 8.69039 -8.38667 2237.75 1662.81 2.36 2.0 41.7 -0.423 19.46 20.94 04a59783o0778o
2459783.819684 14.952 0.007 3794 27 o 0 12.41 8.69039 -8.38667 2220.0 1621.37 2.42 1.96 47.6 -0.409 19.48 20.92 04a59783o0789o
2459783.823448 14.933 0.007 3862 26 o 0 12.76 8.69039 -8.38667 2280.59 1699.24 2.38 1.94 47.9 -0.409 19.46 20.9 04a59783o0797o
2459783.834597 14.943 0.007 3826 28 o 0 8.12 8.69039 -8.38667 2304.63 1581.56 2.32 1.89 47.1 -0.415 19.46 20.9 04a59783o0819o
2459787.069386 15.028 0.008 3538 27 o 0 3.75 8.69039 -8.38667 8687.92 5658.77 2.9 2.83 -27.5 -0.453 19.35 20.82 01a59786o0724o
2459787.072577 15.028 0.008 3538 28 o 0 2.43 8.69039 -8.38667 8668.35 5620.12 2.98 2.87 -32.1 -0.449 19.36 20.85 01a59786o0731o
2459787.077131 15.055 0.008 3453 28 o 0 1.96 8.69039 -8.38667 8728.41 5694.69 3.02 2.94 -24.9 -0.444 19.29 20.83 01a59786o0741o
2459787.090646 15.036 0.008 3513 27 o 0 2.38 8.69039 -8.38667 8748.46 5576.3 3.06 3.03 -75.2 -0.439 19.31 20.85 01a59786o0770o
2459787.882191 15.036 0.007 3512 26 o 0 10.22 8.69039 -8.38667 2069.89 8777.31 2.51 1.93 -84.9 -0.386 19.49 20.9 04a59787o0809o
2459787.885888 15.04 0.007 3499 26 o 0 12.95 8.69039 -8.38667 2090.84 8812.28 2.59 1.98 -84.4 -0.379 19.51 20.98 04a59787o0817o
2459787.892653 15.021 0.007 3562 25 o 0 11.13 8.69039 -8.38667 2037.15 8727.15 2.51 1.94 -85.2 -0.386 19.51 20.95 04a59787o0831o
2459795.102825 15.24 0.009 2910 25 o 0 3.53 8.69039 -8.38667 1694.09 2999.54 2.75 2.56 -44.9 -0.504 19.37 20.82 01a59794o0338o
2459795.107451 15.229 0.009 2939 25 o 0 4.12 8.69039 -8.38667 1715.67 3038.81 2.87 2.61 -46.3 -0.491 19.39 20.83 01a59794o0348o
2459795.115028 15.234 0.01 2926 29 o 0 2.37 8.69039 -8.38667 1656.33 2963.15 2.85 2.65 -44.5 -0.496 19.35 20.77 01a59794o0364o
2459795.122832 15.237 0.01 2918 30 o 0 2.28 8.69039 -8.38667 1641.56 3080.71 2.81 2.61 -44.7 -0.509 19.15 20.22 01a59794o0380o
