###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59725.158480  14.786  0.007  4422   30 o  0   8.98   8.69039  -8.38667   368.68  1625.92 2.24 2.04 -43.0 -0.433 19.19 20.09 03a59725o0984o
59725.165683  14.775  0.007  4465   30 o  0  10.31   8.69039  -8.38667   348.91  1584.87 2.21 2.03 -42.3 -0.443 19.15 20.00 03a59725o0998o
59725.182602  14.796  0.012  4381   52 o  0   2.50   8.69039  -8.38667   405.64  1664.96 2.15 1.98 -52.6 -0.436 18.04 17.76 03a59725o1033o
59732.586776  15.751  0.013  1818   23 c  0   2.24   8.69039  -8.38667  5975.11  1273.11 2.80 2.56  14.0 -0.392 19.08 20.59 02a59732o0752c
59732.595272  15.696  0.011  1912   22 c  0   2.73   8.69039  -8.38667  5991.33  1311.63 2.43 2.35  -3.7 -0.410 19.28 20.65 02a59732o0769c
59732.609249  15.707  0.013  1893   25 c  0   1.60   8.69039  -8.38667  5936.90  1232.66 2.57 2.41  25.9 -0.400 18.92 20.10 02a59732o0799c
59732.613363  15.718  0.017  1873   32 c  0   1.37   8.69039  -8.38667  5916.45  1348.79 2.57 2.42  25.5 -0.394 18.43 19.48 02a59732o0808c
59736.585011  15.568  0.011  2153   23 c  0   2.07   8.69039  -8.38667  5974.02  1271.99 2.46 2.35  36.0 -0.408 19.27 20.67 02a59736o0747c
59736.601626  15.540  0.011  2208   24 c  0   2.29   8.69039  -8.38667  5990.88  1310.16 2.46 2.35  50.3 -0.405 19.27 20.64 02a59736o0783c
59736.604413  15.529  0.010  2230   22 c  0   2.08   8.69039  -8.38667  5930.95  1231.67 2.52 2.32  51.5 -0.399 19.22 20.54 02a59736o0789c
59736.614955  15.579  0.018  2129   39 c  0   1.22   8.69039  -8.38667  5911.74  1347.69 2.50 2.34  35.7 -0.390 18.12 19.10 02a59736o0812c
59737.155348  14.867  0.007  4103   30 o  0   9.08   8.69039  -8.38667  6149.58  1488.17 2.37 2.08 -48.4 -0.433 19.33 20.46 03a59737o0971o
59737.173887  14.861  0.008  4126   31 o  0   6.73   8.69039  -8.38667  6131.06  1450.32 2.33 2.16 -48.1 -0.441 19.07 19.89 03a59737o1007o
59737.185404  14.882  0.015  4046   59 o  0   1.43   8.69039  -8.38667  6187.30  1529.34 2.35 2.15 -50.2 -0.452 17.92 17.67 03a59737o1030o
59744.583906  14.578  0.009  5355   48 o  0   2.56   8.69039  -8.38667 10081.52  4976.26 2.79 2.29  11.2 -0.444 18.26 18.62 02a59744o0739o
59744.595868  14.517  0.009  5667   50 o  0   1.53   8.69039  -8.38667 10098.65  5014.37 2.57 2.26  10.4 -0.427 18.37 18.74 02a59744o0765o
59744.606480  14.563  0.008  5430   46 o  0   1.94   8.69039  -8.38667 10041.15  4936.41 2.82 2.43   8.7 -0.414 18.32 18.75 02a59744o0788o
59744.610141  14.538  0.008  5557   47 o  0   2.17   8.69039  -8.38667 10021.09  5052.95 2.81 2.45   2.9 -0.422 18.23 18.65 02a59744o0796o
59746.592362  14.489  0.009  5811   50 o  0   3.44   8.69039  -8.38667   578.86  7633.56 3.07 2.75 -47.9 -0.425 18.55 19.25 01a59746o0764o
59746.596507  14.520  0.009  5650   49 o  0   2.54   8.69039  -8.38667   559.84  7595.43 3.26 2.87 -43.5 -0.401 18.51 19.27 01a59746o0773o
59746.603434  14.494  0.008  5787   46 o  0   4.04   8.69039  -8.38667   622.23  7673.65 2.95 2.70 -45.9 -0.429 18.61 19.30 01a59746o0788o
59746.615947  14.496  0.019  5778  111 o  0   1.77   8.69039  -8.38667   642.75  7554.67 3.19 2.91 -50.7 -0.403 18.02 18.35 01a59746o0815o
59753.583625  14.482  0.005  5853   32 o  0  14.86   8.69039  -8.38667  8345.47  8938.07 2.10 2.08   7.2 -0.446 19.30 20.11 02a59753o0724o
59753.586763  14.464  0.006  5951   35 o  0  13.39   8.69039  -8.38667  8365.28  8977.22 2.16 2.12   5.0 -0.439 19.28 20.10 02a59753o0730o
59753.596618  14.463  0.005  5952   32 o  0  23.67   8.69039  -8.38667  8306.44  8898.76 2.16 2.11  34.2 -0.443 19.31 20.09 02a59753o0750o
59753.602264  14.454  0.005  6003   32 o  0  10.51   8.69039  -8.38667  8287.95  9015.36 2.20 2.07 -58.8 -0.442 19.31 20.03 02a59753o0762o
59754.587807  14.434  0.006  6112   37 o  0   9.44   8.69039  -8.38667   180.74  1800.63 2.82 2.62 -57.3 -0.609 19.18 20.41 01a59754o0747o
59754.592515  14.483  0.006  5844   35 o  0   7.28   8.69039  -8.38667 10390.09  1644.97 2.92 2.62 -49.9 -0.513 19.14 20.35 01a59754o0756o
59754.600392  14.475  0.006  5889   33 o  0   9.45   8.69039  -8.38667 10371.33  1606.53 3.00 2.67 -54.1 -0.489 19.14 20.32 01a59754o0773o
59754.601773  14.464  0.006  5948   36 o  0   8.94   8.69039  -8.38667   161.41  1761.01 2.84 2.63 -54.0 -0.603 19.18 20.39 01a59754o0776o
59754.610550  14.455  0.006  5996   38 o  0   6.85   8.69039  -8.38667 10431.50  1679.75 2.84 2.59 -54.6 -0.530 18.96 19.89 01a59754o0795o
59754.611930  14.427  0.006  6153   36 o  0  14.00   8.69039  -8.38667   221.93  1838.54 2.70 2.52 -50.4 -0.631 18.96 19.82 01a59754o0798o
59754.618322  14.481  0.009  5857   54 o  0   3.31   8.69039  -8.38667 10452.83  1556.42 3.00 2.64 -54.0 -0.507 18.12 18.38 01a59754o0811o
59754.619704  14.467  0.011  5934   68 o  0   2.85   8.69039  -8.38667   240.83  1720.46 2.85 2.58 -49.3 -0.630 18.02 18.15 01a59754o0814o
59766.590861  14.630  0.006  5103   30 o  0   5.23   8.69039  -8.38667  6276.92  5321.72 2.72 2.65 -11.0 -0.464 19.38 20.81 01a59766o0756o
59766.612784  14.646  0.008  5030   40 o  0   3.40   8.69039  -8.38667  6261.80  5279.72 2.80 2.72 -10.0 -0.462 18.59 19.53 01a59766o0803o
59766.615975  14.631  0.010  5099   48 o  0   1.57   8.69039  -8.38667  6321.47  5355.96 2.79 2.71 -29.8 -0.465 18.48 19.24 01a59766o0810o
59766.620294  14.640  0.011  5059   53 o  0   1.75   8.69039  -8.38667  6338.67  5238.40 2.87 2.68  26.6 -0.454 18.03 18.33 01a59766o0819o
59768.588545  15.091  0.007  3340   24 c  0   3.54   8.69039  -8.38667  8036.51  3114.36 2.54 2.33  34.0 -0.400 19.60 21.31 02a59768o0730c
59768.606734  15.087  0.008  3350   26 c  0   2.91   8.69039  -8.38667  8055.51  3152.88 2.45 2.36  38.8 -0.403 19.43 21.03 02a59768o0770c
59768.615824  15.089  0.010  3346   35 c  0   2.31   8.69039  -8.38667  7996.96  3074.05 2.51 2.39  26.5 -0.394 18.74 19.88 02a59768o0790c
