|     name |                                            realimg | flt |         obstime | camera |    exptime | bitpix |   NX |   NY | flt2int | fixbad | rmCR |               fwhm |                 bkg | airmass | nstar | template |   x |   y | instmag | instmagerr | relmag | relmagerr | magzpt | magzpterr | calmag | calmagerr | drop |         geotranfac | fwhmconv | convon | xsub | ysub | fitsky | magap1 | magerrap1 | mskyap1 | magap2 | magerrap2 | mskyap2 |  mag1 | magerr1 |  mag2 | magerr2 | magfit1 | magerrfit1 | mskyfit1 | magfit2 | magerrfit2 | mskyfit2 | magdiff |
| 010.fits | rc20220707_10_50_55_f_a_b_ZTF22aapubuy_i_i.fits.gz |  ip | 2459767.9520315 |      ? |      120.0 |    -64 |  909 |  985 |       0 |      0 |    0 |  5.219545088161343 |   333.8393608818488 |     0.0 |     0 |        0 | 0.0 | 0.0 |   17.22 |      0.023 |  99.99 |     99.99 |  99.99 |     99.99 |  14.66 |     0.038 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 002.fits | rc20220719_11_33_40_f_a_b_ZTF22aapubuy_i_i.fits.gz |  ip | 2459779.9817233 |      ? |      120.0 |    -64 |  909 |  985 |       0 |      0 |    0 |  4.977775169782891 |  1159.2705838629902 |     0.0 |     0 |        0 | 0.0 | 0.0 |  17.524 |      0.026 |  99.99 |     99.99 |  99.99 |     99.99 | 14.964 |      0.04 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 012.fits | rc20220726_08_43_23_f_a_b_ZTF22aapubuy_i_i.fits.gz |  ip | 2459786.8634617 |      ? |       90.0 |    -64 |  909 |  985 |       0 |      0 |    0 | 3.9843786246771957 |  272.46542478157687 |     0.0 |     0 |        0 | 0.0 | 0.0 |  17.656 |      0.028 |  99.99 |     99.99 |  99.99 |     99.99 | 15.096 |     0.041 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 028.fits | rc20220804_10_38_51_f_a_b_ZTF22aapubuy_i_i.fits.gz |  ip | 2459795.9436473 |      ? |       90.0 |    -64 |  909 |  985 |       0 |      0 |    0 | 3.9816384087447148 |  231.21829393819314 |     0.0 |     0 |        0 | 0.0 | 0.0 |   17.84 |       0.03 |  99.99 |     99.99 |  99.99 |     99.99 |  15.28 |     0.042 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 018.fits | rc20220811_08_07_35_f_a_b_ZTF22aapubuy_i_i.fits.gz |  ip | 2459802.8386095 |      ? |      120.0 |    -64 |  909 |  985 |       0 |      0 |    0 |  4.745005696112356 |  1368.1709287316373 |     0.0 |     0 |        0 | 0.0 | 0.0 |  17.882 |      0.031 |  99.99 |     99.99 |  99.99 |     99.99 | 15.322 |     0.043 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 006.fits | rc20220816_07_36_08_f_a_b_ZTF22aapubuy_i_i.fits.gz |  ip |   2459807.81677 |      ? |      120.0 |    -64 |  909 |  985 |       0 |      0 |    0 | 5.5388976379329575 |  2203.1545054869193 |     0.0 |     0 |        0 | 0.0 | 0.0 |  17.875 |      0.031 |  99.99 |     99.99 |  99.99 |     99.99 | 15.315 |     0.043 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 009.fits | rc20220818_08_28_04_f_a_b_ZTF22aapubuy_i_i.fits.gz |  ip | 2459809.8528258 |      ? |      120.0 |    -64 |  909 |  985 |       0 |      0 |    0 |  4.948836471842361 |   594.1395113343855 |     0.0 |     0 |        0 | 0.0 | 0.0 |  17.912 |      0.031 |  99.99 |     99.99 |  99.99 |     99.99 | 15.352 |     0.043 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 016.fits | rc20220823_09_35_17_f_a_b_ZTF22aapubuy_i_i.fits.gz |  ip | 2459814.8995098 |      ? |      120.0 |    -64 |  909 |  985 |       0 |      0 |    0 |  5.898675187769921 |  236.79902278944445 |     0.0 |     0 |        0 | 0.0 | 0.0 |  17.824 |       0.03 |  99.99 |     99.99 |  99.99 |     99.99 | 15.264 |     0.042 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 013.fits | rc20220828_06_46_28_f_a_b_ZTF22aapubuy_i_i.fits.gz |  ip | 2459819.7822735 |      ? |      120.0 |    -64 |  909 |  985 |       0 |      0 |    0 |  5.753456470798829 |   376.3697235166437 |     0.0 |     0 |        0 | 0.0 | 0.0 |  18.249 |      0.037 |  99.99 |     99.99 |  99.99 |     99.99 | 15.689 |     0.048 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 023.fits | rc20220908_05_44_01_f_a_b_ZTF22aapubuy_i_i.fits.gz |  ip | 2459830.7389075 |      ? |      120.0 |    -64 |  909 |  985 |       0 |      0 |    0 |  7.733081730411175 |  3339.8259112695036 |     0.0 |     0 |        0 | 0.0 | 0.0 |  18.446 |      0.043 |  99.99 |     99.99 |  99.99 |     99.99 | 15.886 |     0.052 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
