|     name |                                            realimg | flt |         obstime | camera |    exptime | bitpix |   NX |   NY | flt2int | fixbad | rmCR |               fwhm |                 bkg | airmass | nstar | template |   x |   y | instmag | instmagerr | relmag | relmagerr | magzpt | magzpterr | calmag | calmagerr | drop |         geotranfac | fwhmconv | convon | xsub | ysub | fitsky | magap1 | magerrap1 | mskyap1 | magap2 | magerrap2 | mskyap2 |  mag1 | magerr1 |  mag2 | magerr2 | magfit1 | magerrfit1 | mskyfit1 | magfit2 | magerrfit2 | mskyfit2 | magdiff |
| 025.fits | rc20220707_10_48_01_f_a_b_ZTF22aapubuy_r_r.fits.gz |  rp | 2459767.9500197 |      ? |      120.0 |    -64 | 1005 | 1030 |       0 |      0 |    0 |  4.858397396601445 |   430.2109204117676 |     0.0 |     0 |        0 | 0.0 | 0.0 |  17.354 |      0.024 |  99.99 |     99.99 |  99.99 |     99.99 |  14.79 |     0.038 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 016.fits | rc20220719_11_30_46_f_a_b_ZTF22aapubuy_r_r.fits.gz |  rp |   2459779.97971 |      ? |      120.0 |    -64 | 1005 | 1030 |       0 |      0 |    0 |  4.878658994216876 |   1808.411540874537 |     0.0 |     0 |        0 | 0.0 | 0.0 |  17.637 |      0.028 |  99.99 |     99.99 |  99.99 |     99.99 | 15.077 |     0.041 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 002.fits | rc20220726_08_40_59_f_a_b_ZTF22aapubuy_r_r.fits.gz |  rp | 2459786.8618029 |      ? |       90.0 |    -64 | 1005 | 1030 |       0 |      0 |    0 |  4.141489940747134 |  315.18490564338356 |     0.0 |     0 |        0 | 0.0 | 0.0 |  17.706 |      0.028 |  99.99 |     99.99 |  99.99 |     99.99 | 15.146 |     0.041 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 021.fits | rc20220804_10_36_27_f_a_b_ZTF22aapubuy_r_r.fits.gz |  rp | 2459795.9419877 |      ? |       90.0 |    -64 | 1005 | 1030 |       0 |      0 |    0 | 3.9897905530242745 |   706.1990262082635 |     0.0 |     0 |        0 | 0.0 | 0.0 |  17.871 |      0.031 |  99.99 |     99.99 |  99.99 |     99.99 | 15.311 |     0.043 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 000.fits | rc20220811_08_04_42_f_a_b_ZTF22aapubuy_r_r.fits.gz |  rp | 2459802.8365977 |      ? |      120.0 |    -64 | 1005 | 1030 |       0 |      0 |    0 |  4.589674257525603 |  2768.6248395971675 |     0.0 |     0 |        0 | 0.0 | 0.0 |  17.915 |      0.031 |  99.99 |     99.99 |  99.99 |     99.99 | 15.355 |     0.043 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 006.fits | rc20220816_07_33_14_f_a_b_ZTF22aapubuy_r_r.fits.gz |  rp | 2459807.8147516 |      ? |      120.0 |    -64 | 1005 | 1030 |       0 |      0 |    0 |  5.314453160127754 |  3271.1906419848365 |     0.0 |     0 |        0 | 0.0 | 0.0 |   17.98 |      0.033 |  99.99 |     99.99 |  99.99 |     99.99 |  15.42 |     0.045 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 023.fits | rc20220818_08_25_10_f_a_b_ZTF22aapubuy_r_r.fits.gz |  rp | 2459809.8508156 |      ? |      120.0 |    -64 | 1005 | 1030 |       0 |      0 |    0 | 5.1725244583733625 |    928.001631851565 |     0.0 |     0 |        0 | 0.0 | 0.0 |  17.948 |      0.032 |  99.99 |     99.99 |  99.99 |     99.99 | 15.388 |     0.044 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 020.fits | rc20220823_09_32_23_f_a_b_ZTF22aapubuy_r_r.fits.gz |  rp |  2459814.897497 |      ? |      120.0 |    -64 | 1005 | 1030 |       0 |      0 |    0 | 5.3327229756869325 |   301.4347907070745 |     0.0 |     0 |        0 | 0.0 | 0.0 |  18.093 |      0.034 |  99.99 |     99.99 |  99.99 |     99.99 | 15.533 |     0.045 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 010.fits | rc20220828_06_43_34_f_a_b_ZTF22aapubuy_r_r.fits.gz |  rp | 2459819.7802642 |      ? |      120.0 |    -64 | 1005 | 1030 |       0 |      0 |    0 |  4.800738708366342 |   452.5189072706953 |     0.0 |     0 |        0 | 0.0 | 0.0 |  18.274 |      0.037 |  99.99 |     99.99 |  99.99 |     99.99 | 15.714 |     0.048 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 022.fits | rc20220908_05_41_06_f_a_b_ZTF22aapubuy_r_r.fits.gz |  rp | 2459830.7368838 |      ? |      120.0 |    -64 | 1005 | 1030 |       0 |      0 |    0 |  5.979039544187932 |   6272.821355140727 |     0.0 |     0 |        0 | 0.0 | 0.0 |  18.462 |      0.042 |  99.99 |     99.99 |  99.99 |     99.99 | 15.902 |     0.052 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 007.fits | rc20220916_05_44_51_f_a_b_ZTF22aapubuy_r_r.fits.gz |  rp | 2459838.7394851 |      ? |       90.0 |    -64 | 1005 | 1030 |       0 |      0 |    0 |  6.322308197428441 |   534.8309815497905 |     0.0 |     0 |        0 | 0.0 | 0.0 |  18.405 |      0.039 |  99.99 |     99.99 |  99.99 |     99.99 | 15.845 |     0.049 |    0 | 0.9334512203814773 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
