|     name |                                                                realimg | flt |            obstime | camera |   exptime | bitpix |   NX |   NY | flt2int | fixbad | rmCR |              fwhm |                bkg | airmass | nstar | template |   x |   y | instmag | instmagerr | relmag | relmagerr | magzpt | magzpterr | calmag | calmagerr | drop |         geotranfac | fwhmconv | convon |   xsub |   ysub | fitsky | magap1 | magerrap1 | mskyap1 | magap2 | magerrap2 | mskyap2 |  mag1 | magerr1 |  mag2 | magerr2 | magfit1 | magerrfit1 | mskyfit1 | magfit2 | magerrfit2 | mskyfit2 | magdiff |
| 189.fits |           RichardSPost-SN2022jil_20221109_032450_SG_150_NM_32_C001.fts |  gp |  2459892.642268403 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |              4.33 |           17358.14 |     0.0 |    42 |        0 | 0.0 | 0.0 |  19.319 |      0.055 |  99.99 |     99.99 |  99.99 |     99.99 | 16.777 |     0.055 |    0 | 0.9714902743287728 |      0.0 |      ? |  500.5 | 501.61 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 056.fits |           RichardSPost-SN2022jil_20221109_032729_SG_150_NM_32_C002.fts |  gp | 2459892.6441100696 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |              4.38 |           17617.83 |     0.0 |    56 |        0 | 0.0 | 0.0 |  19.282 |      0.052 |  99.99 |     99.99 |  99.99 |     99.99 |  16.74 |     0.052 |    0 | 0.9716701398967235 |      0.0 |      ? |  500.5 | 501.56 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 301.fits |           RichardSPost-SN2022jil_20221109_033008_SG_150_NM_32_C003.fts |  gp |  2459892.645961921 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.5 |           17585.54 |     0.0 |    65 |        0 | 0.0 | 0.0 |  19.214 |      0.046 |  99.99 |     99.99 |  99.99 |     99.99 | 16.672 |     0.046 |    0 | 0.9722730506317403 |      0.0 |      ? | 500.53 |  501.5 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 264.fits |                        SN2022jil_20221109_070133_SG_150_NM_32_C001.fts |  gp | 2459892.7927644677 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |              4.44 |            23390.6 |     0.0 |    41 |        0 | 0.0 | 0.0 |  19.194 |      0.056 |  99.99 |     99.99 |  99.99 |     99.99 | 16.652 |     0.056 |    0 | 0.9716608024135619 |      0.0 |      ? | 500.51 | 501.69 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 275.fits |                        SN2022jil_20221109_070413_SG_150_NM_32_C002.fts |  gp | 2459892.7946185186 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |              4.79 |           23697.62 |     0.0 |    72 |        0 | 0.0 | 0.0 |  19.245 |      0.055 |  99.99 |     99.99 |  99.99 |     99.99 | 16.703 |     0.055 |    0 | 0.9720140400351821 |      0.0 |      ? | 500.48 | 501.66 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 066.fits |                        SN2022jil_20221109_070653_SG_150_NM_32_C003.fts |  gp |  2459892.796458796 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |              4.71 |            23971.8 |     0.0 |    62 |        0 | 0.0 | 0.0 |  19.307 |      0.058 |  99.99 |     99.99 |  99.99 |     99.99 | 16.765 |     0.058 |    0 | 0.9728296670648647 |      0.0 |      ? | 500.51 | 501.45 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 104.fits |                        SN2022jli_20221110_030131_SG_150_NM_32_C001.fts |  gp | 2459893.6260770834 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |              3.49 |            8801.69 |     0.0 |    66 |        0 | 0.0 | 0.0 |  19.261 |      0.047 |  99.99 |     99.99 |  99.99 |     99.99 | 16.719 |     0.047 |    0 | 0.9713950700109051 |      0.0 |      ? | 500.53 | 501.53 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 020.fits |                        SN2022jli_20221110_030411_SG_150_NM_32_C002.fts |  gp | 2459893.6279332177 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |              3.41 |            8865.97 |     0.0 |    84 |        0 | 0.0 | 0.0 |  19.246 |      0.047 |  99.99 |     99.99 |  99.99 |     99.99 | 16.704 |     0.047 |    0 | 0.9715429625624857 |      0.0 |      ? | 500.55 | 501.61 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 228.fits |                        SN2022jli_20221110_030652_SG_150_NM_32_C003.fts |  gp |  2459893.629788079 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.4 |            8937.88 |     0.0 |    86 |        0 | 0.0 | 0.0 |  19.259 |      0.047 |  99.99 |     99.99 |  99.99 |     99.99 | 16.717 |     0.047 |    0 | 0.9715155507161906 |      0.0 |      ? | 500.52 | 501.56 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 262.fits |                        SN2022jli_20221112_030132_SG_150_NM_32_C001.fts |  gp |  2459895.626087963 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |              3.22 |            3470.91 |     0.0 |   161 |        0 | 0.0 | 0.0 |   19.23 |      0.045 |  99.99 |     99.99 |  99.99 |     99.99 | 16.688 |     0.045 |    0 |  0.971597059294774 |      0.0 |      ? | 500.52 | 501.58 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
