|     name |                                         realimg | flt |            obstime | camera |   exptime | bitpix |   NX |   NY | flt2int | fixbad | rmCR |               fwhm |                 bkg | airmass | nstar | template |   x |   y | instmag | instmagerr | relmag | relmagerr | magzpt | magzpterr | calmag | calmagerr | drop |         geotranfac | fwhmconv | convon |   xsub |   ysub | fitsky | magap1 | magerrap1 | mskyap1 | magap2 | magerrap2 | mskyap2 |  mag1 | magerr1 |  mag2 | magerr2 | magfit1 | magerrfit1 | mskyfit1 | magfit2 | magerrfit2 | mskyfit2 | magdiff |
| 074.fits | SN2022jli_20221110_031740_SI_150_NM_32_C001.fts |  ip |   2459893.63736713 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.13 |             5017.66 |     0.0 |   213 |        0 | 0.0 | 0.0 |  18.978 |      0.041 |  99.99 |     99.99 |  99.99 |     99.99 | 16.394 |     0.041 |    0 | 0.9716110807416795 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 261.fits | SN2022jli_20221110_032027_SI_150_NM_32_C002.fts |  ip | 2459893.6392131946 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.22 |             5048.95 |     0.0 |   220 |        0 | 0.0 | 0.0 |  18.971 |       0.04 |  99.99 |     99.99 |  99.99 |     99.99 | 16.387 |      0.04 |    0 | 0.9717725410922838 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 224.fits | SN2022jli_20221110_032306_SI_150_NM_32_C003.fts |  ip | 2459893.6410665507 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.14 |             5025.76 |     0.0 |   228 |        0 | 0.0 | 0.0 |  18.908 |      0.039 |  99.99 |     99.99 |  99.99 |     99.99 | 16.324 |     0.039 |    0 | 0.9712510636971681 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 180.fits | SN2022jli_20221112_031742_SI_150_NM_32_C001.fts |  ip | 2459895.6373864585 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.02 |             5505.53 |     0.0 |   229 |        0 | 0.0 | 0.0 |  18.867 |      0.039 |  99.99 |     99.99 |  99.99 |     99.99 | 16.283 |     0.039 |    0 | 0.9715695896468285 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 062.fits | SN2022jli_20221112_032028_SI_150_NM_32_C002.fts |  ip | 2459895.6392318285 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.03 |             5298.94 |     0.0 |   216 |        0 | 0.0 | 0.0 |  18.866 |      0.038 |  99.99 |     99.99 |  99.99 |     99.99 | 16.282 |     0.038 |    0 | 0.9710850549180742 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 139.fits | SN2022jli_20221112_032308_SI_150_NM_32_C003.fts |  ip | 2459895.6410828703 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.12 |              5365.7 |     0.0 |   240 |        0 | 0.0 | 0.0 |  18.848 |      0.038 |  99.99 |     99.99 |  99.99 |     99.99 | 16.264 |     0.038 |    0 | 0.9716671356434291 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 003.fits | SN2022jli_20221113_032022_SI_150_NM_32_C001.fts |  ip |  2459896.639238773 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               2.83 |              3213.5 |     0.0 |   241 |        0 | 0.0 | 0.0 |  18.876 |      0.038 |  99.99 |     99.99 |  99.99 |     99.99 | 16.292 |     0.038 |    0 | 0.9714605580164648 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 293.fits | SN2022jli_20221113_032309_SI_150_NM_32_C002.fts |  ip | 2459896.6410957174 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               2.96 |             3276.77 |     0.0 |   263 |        0 | 0.0 | 0.0 |  18.865 |      0.038 |  99.99 |     99.99 |  99.99 |     99.99 | 16.281 |     0.038 |    0 |  0.971777886096676 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 094.fits | SN2022jli_20221113_032549_SI_150_NM_32_C003.fts |  ip | 2459896.6429445604 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.05 |              3319.7 |     0.0 |   340 |        0 | 0.0 | 0.0 |  18.843 |      0.038 |  99.99 |     99.99 |  99.99 |     99.99 | 16.259 |     0.038 |    0 | 0.9718810486444512 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 195.fits | SN2022jli_20221114_030441_SI_150_NM_32_C001.fts |  ip | 2459897.6283537038 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.65 |             3892.55 |     0.0 |   188 |        0 | 0.0 | 0.0 |  18.871 |      0.039 |  99.99 |     99.99 |  99.99 |     99.99 | 16.287 |     0.039 |    0 | 0.9710653813786406 |      0.0 |      ? | 500.57 | 501.65 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
