|     name |                                                      realimg | flt |            obstime | camera |   exptime | bitpix |   NX |   NY | flt2int | fixbad | rmCR |               fwhm |                bkg | airmass | nstar | template |   x |   y | instmag | instmagerr | relmag | relmagerr | magzpt | magzpterr | calmag | calmagerr | drop |         geotranfac | fwhmconv | convon |   xsub |   ysub | fitsky | magap1 | magerrap1 | mskyap1 | magap2 | magerrap2 | mskyap2 |  mag1 | magerr1 |  mag2 | magerr2 | magfit1 | magerrfit1 | mskyfit1 | magfit2 | magerrfit2 | mskyfit2 | magdiff |
| 053.fits | RichardSPost-SN2022jil_20221109_033251_SR_150_NM_32_C001.fts |  rp |  2459892.647909028 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.53 |           14646.61 |     0.0 |    85 |        0 | 0.0 | 0.0 |   19.26 |       0.05 |  99.99 |     99.99 |  99.99 |     99.99 | 16.703 |     0.056 |    0 |  0.971500894951482 |      0.0 |      ? | 500.58 | 501.64 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 035.fits | RichardSPost-SN2022jil_20221109_033538_SR_150_NM_32_C002.fts |  rp | 2459892.6497767363 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.23 |           14588.93 |     0.0 |    87 |        0 | 0.0 | 0.0 |  19.156 |      0.047 |  99.99 |     99.99 |  99.99 |     99.99 | 16.599 |     0.053 |    0 | 0.9715897839347354 |      0.0 |      ? |  500.4 | 501.58 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 084.fits | RichardSPost-SN2022jil_20221109_033819_SR_150_NM_32_C003.fts |  rp | 2459892.6516216435 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.38 |           14643.73 |     0.0 |    72 |        0 | 0.0 | 0.0 |  19.225 |      0.049 |  99.99 |     99.99 |  99.99 |     99.99 | 16.668 |     0.055 |    0 | 0.9711270308806927 |      0.0 |      ? |  500.5 | 501.69 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 250.fits |              SN2022jil_20221109_070933_SR_150_NM_32_C001.fts |  rp | 2459892.7983336807 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.51 |           20995.59 |     0.0 |    82 |        0 | 0.0 | 0.0 |  19.112 |      0.048 |  99.99 |     99.99 |  99.99 |     99.99 | 16.555 |     0.054 |    0 | 0.9718655280011539 |      0.0 |      ? |  500.5 | 501.57 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 003.fits |              SN2022jil_20221109_071214_SR_150_NM_32_C002.fts |  rp | 2459892.8002424766 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.32 |           21309.99 |     0.0 |    87 |        0 | 0.0 | 0.0 |  19.141 |      0.048 |  99.99 |     99.99 |  99.99 |     99.99 | 16.584 |     0.054 |    0 | 0.9724649713595355 |      0.0 |      ? | 500.58 | 501.62 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 116.fits |              SN2022jil_20221109_071458_SR_150_NM_32_C003.fts |  rp |  2459892.802095023 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |                4.6 |           21272.81 |     0.0 |    72 |        0 | 0.0 | 0.0 |  19.261 |      0.051 |  99.99 |     99.99 |  99.99 |     99.99 | 16.704 |     0.057 |    0 | 0.9721382815921061 |      0.0 |      ? | 500.46 | 501.49 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 145.fits |              SN2022jli_20221110_030932_SR_150_NM_32_C001.fts |  rp | 2459893.6317208335 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.29 |            6994.54 |     0.0 |   144 |        0 | 0.0 | 0.0 |  19.199 |      0.045 |  99.99 |     99.99 |  99.99 |     99.99 | 16.642 |     0.051 |    0 | 0.9714423518101754 |      0.0 |      ? | 500.47 | 501.58 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 052.fits |              SN2022jli_20221110_031218_SR_150_NM_32_C002.fts |  rp | 2459893.6335653937 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.16 |            7033.99 |     0.0 |   200 |        0 | 0.0 | 0.0 |  19.204 |      0.044 |  99.99 |     99.99 |  99.99 |     99.99 | 16.647 |      0.05 |    0 | 0.9711680607018573 |      0.0 |      ? | 500.51 | 501.54 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 179.fits |              SN2022jli_20221110_031458_SR_150_NM_32_C003.fts |  rp | 2459893.6354207178 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.18 |            7071.72 |     0.0 |   191 |        0 | 0.0 | 0.0 |  19.189 |      0.044 |  99.99 |     99.99 |  99.99 |     99.99 | 16.632 |      0.05 |    0 | 0.9714799144196141 |      0.0 |      ? | 500.46 | 501.52 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 202.fits |              SN2022jli_20221112_030934_SR_150_NM_32_C001.fts |  rp |  2459895.631749537 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.34 |            5142.56 |     0.0 |   262 |        0 | 0.0 | 0.0 |  19.173 |      0.044 |  99.99 |     99.99 |  99.99 |     99.99 | 16.616 |      0.05 |    0 | 0.9715966297745791 |      0.0 |      ? | 500.48 | 501.58 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
