|     name |                                        realimg | flt |            obstime | camera |    exptime | bitpix |   NX |   NY | flt2int | fixbad | rmCR |               fwhm |                bkg | airmass | nstar | template |   x |   y | instmag | instmagerr | relmag | relmagerr | magzpt | magzpterr | calmag | calmagerr | drop |          geotranfac | fwhmconv | convon | xsub | ysub | fitsky | magap1 | magerrap1 | mskyap1 | magap2 | magerrap2 | mskyap2 |  mag1 | magerr1 |  mag2 | magerr2 | magfit1 | magerrfit1 | mskyfit1 | magfit2 | magerrfit2 | mskyfit2 | magdiff |
| 040.fits | SN2022jli_20221127_021119_U_200_NM_32_C001.fts |  up | 2459910.5912856483 |      ? |      200.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.39 |             155.63 |     0.0 |    44 |        0 | 0.0 | 0.0 |  20.774 |      0.116 |  99.99 |     99.99 |  99.99 |     99.99 | 18.249 |     0.116 |    0 |  0.9717098351724656 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 159.fits | SN2022jli_20221127_021455_U_200_NM_32_C002.fts |  up |  2459910.593705903 |      ? |      200.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.69 |             154.77 |     0.0 |    67 |        0 | 0.0 | 0.0 |  20.801 |      0.122 |  99.99 |     99.99 |  99.99 |     99.99 | 18.276 |     0.122 |    0 |  0.9718079391480301 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 094.fits | SN2022jli_20221127_021824_U_200_NM_32_C003.fts |  up | 2459910.5961251156 |      ? |      200.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.72 |             153.88 |     0.0 |    47 |        0 | 0.0 | 0.0 |  20.782 |      0.117 |  99.99 |     99.99 |  99.99 |     99.99 | 18.257 |     0.117 |    0 |  0.9714051591765136 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 043.fits | SN2022jli_20221127_022153_U_200_NM_32_C004.fts |  up | 2459910.5985574075 |      ? |      200.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               5.02 |             152.91 |     0.0 |    43 |        0 | 0.0 | 0.0 |  20.753 |      0.117 |  99.99 |     99.99 |  99.99 |     99.99 | 18.228 |     0.117 |    0 |  0.9716434289412038 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 065.fits | SN2022jli_20221127_022524_U_200_NM_32_C005.fts |  up |  2459910.600984259 |      ? |      200.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |                4.7 |             151.91 |     0.0 |    56 |        0 | 0.0 | 0.0 |  21.164 |      0.153 |  99.99 |     99.99 |  99.99 |     99.99 | 18.639 |     0.153 |    0 |  0.9719164092640009 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 119.fits | SN2022jli_20221127_022852_U_200_NM_32_C006.fts |  up | 2459910.6034059026 |      ? |      200.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |                5.2 |             151.73 |     0.0 |    39 |        0 | 0.0 | 0.0 |  21.224 |      0.165 |  99.99 |     99.99 |  99.99 |     99.99 | 18.699 |     0.165 |    0 |  0.9719339445893946 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 137.fits | SN2022jli_20221130_021116_U_200_NM_32_C001.fts |  up | 2459913.5912510417 |      ? |      200.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.22 |             272.79 |     0.0 |   141 |        0 | 0.0 | 0.0 |  21.031 |      0.128 |  99.99 |     99.99 |  99.99 |     99.99 | 18.506 |     0.128 |    0 |  0.9712511806699322 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 174.fits | SN2022jli_20221130_021452_U_200_NM_32_C002.fts |  up |  2459913.593674884 |      ? |      200.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |                4.4 |             271.66 |     0.0 |   147 |        0 | 0.0 | 0.0 |  21.045 |       0.14 |  99.99 |     99.99 |  99.99 |     99.99 |  18.52 |      0.14 |    0 |  0.9712511806699322 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 073.fits | SN2022jli_20221130_021822_U_200_NM_32_C003.fts |  up | 2459913.5961001157 |      ? |      200.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.08 |             271.74 |     0.0 |   118 |        0 | 0.0 | 0.0 |  20.925 |      0.127 |  99.99 |     99.99 |  99.99 |     99.99 |   18.4 |     0.127 |    0 |  0.9712296345735194 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 042.fits | SN2022jli_20221130_022151_U_200_NM_32_C004.fts |  up | 2459913.5985188656 |      ? |      200.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.23 |             270.87 |     0.0 |    49 |        0 | 0.0 | 0.0 |  21.092 |      0.151 |  99.99 |     99.99 |  99.99 |     99.99 | 18.567 |     0.151 |    0 |  0.9718831927839756 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 178.fits | SN2022jli_20221130_022520_U_200_NM_32_C005.fts |  up | 2459913.6009390047 |      ? |      200.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.26 |             270.95 |     0.0 |   371 |        0 | 0.0 | 0.0 |  20.921 |      0.118 |  99.99 |     99.99 |  99.99 |     99.99 | 18.396 |     0.118 |    0 |  0.9712511806699322 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 164.fits | SN2022jli_20221130_022849_U_200_NM_32_C006.fts |  up |  2459913.603362847 |      ? |      200.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.63 |             270.77 |     0.0 |   207 |        0 | 0.0 | 0.0 |  21.122 |      0.144 |  99.99 |     99.99 |  99.99 |     99.99 | 18.597 |     0.144 |    0 |   0.972622557043863 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 146.fits | SN2022jli_20221201_021115_U_200_NM_32_C001.fts |  up |  2459914.591246412 |      ? |      200.0 |     32 | 1024 | 1024 |       0 |      0 |    0 | 4.0734374291240965 |   706.364096037433 |     0.0 |    28 |        0 | 0.0 | 0.0 |  20.834 |      0.154 |  99.99 |     99.99 |  99.99 |     99.99 | 18.309 |     0.154 |    0 |   0.971816097035884 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 190.fits | SN2022jli_20221201_021451_U_200_NM_32_C002.fts |  up | 2459914.5936641204 |      ? |      200.0 |     32 | 1024 | 1024 |       0 |      0 |    0 |  4.845082828769104 |  704.4556033118308 |     0.0 |    23 |        0 | 0.0 | 0.0 |  20.496 |      0.161 |  99.99 |     99.99 |  99.99 |     99.99 | 17.971 |     0.161 |    0 |  0.9718090932192401 |      0.0 |      ? |  0.0 |  0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
