|     name |                                         realimg | flt |            obstime | camera |    exptime | bitpix |   NX |   NY | flt2int | fixbad | rmCR |               fwhm |                bkg | airmass | nstar | template |   x |   y | instmag | instmagerr | relmag | relmagerr | magzpt | magzpterr | calmag | calmagerr | drop |         geotranfac | fwhmconv | convon |   xsub |   ysub | fitsky | magap1 | magerrap1 | mskyap1 | magap2 | magerrap2 | mskyap2 |  mag1 | magerr1 |  mag2 | magerr2 | magfit1 | magerrfit1 | mskyfit1 | magfit2 | magerrfit2 | mskyfit2 | magdiff |
| 145.fits | SN2022jli_20221110_032546_SZ_150_NM_32_C001.fts |  zp | 2459893.6429342595 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.11 |             3608.6 |     0.0 |   123 |        0 | 0.0 | 0.0 |  18.441 |      0.035 |  99.99 |     99.99 |  99.99 |     99.99 | 15.863 |     0.062 |    0 | 0.9712395014558098 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 229.fits | SN2022jli_20221110_032827_SZ_150_NM_32_C002.fts |  zp |  2459893.644770949 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.02 |            3579.84 |     0.0 |   157 |        0 | 0.0 | 0.0 |  18.387 |      0.032 |  99.99 |     99.99 |  99.99 |     99.99 | 15.809 |      0.06 |    0 | 0.9710837799753874 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 024.fits | SN2022jli_20221110_033106_SZ_150_NM_32_C003.fts |  zp |  2459893.646675463 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.32 |            3525.89 |     0.0 |   100 |        0 | 0.0 | 0.0 |  18.461 |      0.036 |  99.99 |     99.99 |  99.99 |     99.99 | 15.883 |     0.062 |    0 | 0.9710944548947048 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 222.fits | SN2022jli_20221112_032549_SZ_150_NM_32_C001.fts |  zp | 2459895.6429792824 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.11 |            5794.93 |     0.0 |   106 |        0 | 0.0 | 0.0 |  18.343 |      0.036 |  99.99 |     99.99 |  99.99 |     99.99 | 15.765 |     0.062 |    0 |  0.971812003908558 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 178.fits | SN2022jli_20221112_032832_SZ_150_NM_32_C002.fts |  zp | 2459895.6448283563 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.05 |            6263.98 |     0.0 |    99 |        0 | 0.0 | 0.0 |  18.327 |      0.036 |  99.99 |     99.99 |  99.99 |     99.99 | 15.749 |     0.062 |    0 |  0.972264625113185 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 072.fits | SN2022jli_20221112_033110_SZ_150_NM_32_C003.fts |  zp |  2459895.646718403 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.24 |            6933.91 |     0.0 |    92 |        0 | 0.0 | 0.0 |  18.323 |      0.037 |  99.99 |     99.99 |  99.99 |     99.99 | 15.745 |     0.063 |    0 | 0.9718987121023198 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 171.fits | SN2022jli_20221113_032829_SZ_150_NM_32_C001.fts |  zp | 2459896.6448072917 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.07 |            3648.98 |     0.0 |   137 |        0 | 0.0 | 0.0 |   18.35 |      0.032 |  99.99 |     99.99 |  99.99 |     99.99 | 15.772 |      0.06 |    0 | 0.9716805878939627 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 100.fits | SN2022jli_20221113_033110_SZ_150_NM_32_C002.fts |  zp | 2459896.6466546296 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               2.96 |            3778.83 |     0.0 |   130 |        0 | 0.0 | 0.0 |  18.348 |      0.033 |  99.99 |     99.99 |  99.99 |     99.99 |  15.77 |     0.061 |    0 | 0.9717711028617418 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 227.fits | SN2022jli_20221113_033349_SZ_150_NM_32_C003.fts |  zp | 2459896.6485618055 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |                2.9 |            3880.59 |     0.0 |   105 |        0 | 0.0 | 0.0 |  18.394 |      0.033 |  99.99 |     99.99 |  99.99 |     99.99 | 15.816 |     0.061 |    0 | 0.9713448160284429 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 228.fits | SN2022jli_20221114_031250_SZ_150_NM_32_C001.fts |  zp | 2459897.6339549767 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.43 |            5204.86 |     0.0 |   136 |        0 | 0.0 | 0.0 |  18.342 |      0.033 |  99.99 |     99.99 |  99.99 |     99.99 | 15.764 |     0.061 |    0 | 0.9714423716278808 |      0.0 |      ? | 486.51 | 487.59 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
