mjd obstime flt mag emag
59968.155 2023-01-24T03:43:29 r 17.509 0.063
59967.123 2023-01-23T02:56:26 r 17.399 0.065
59958.133 2023-01-14T03:11:47 r 17.139 0.040
59958.120 2023-01-14T02:52:49 g 17.065 0.055
59957.163 2023-01-13T03:55:19 r 17.327 0.071
59956.130 2023-01-12T03:07:02 r 17.308 0.042
59951.160 2023-01-07T03:50:11 r 17.266 0.053
59951.159 2023-01-07T03:49:31 r 17.172 0.035
59951.131 2023-01-07T03:07:57 g 17.140 0.052
59937.175 2022-12-24T04:11:24 r 17.049 0.047
59936.128 2022-12-23T03:04:50 r 17.003 0.054
59935.188 2022-12-22T04:30:05 g 16.905 0.036
59934.183 2022-12-21T04:23:09 g 16.901 0.038
59933.191 2022-12-20T04:34:58 g 16.935 0.047
59930.212 2022-12-17T05:05:34 g 17.043 0.039
59930.190 2022-12-17T04:33:46 g 17.044 0.047
59930.107 2022-12-17T02:34:27 r 17.080 0.049
59930.106 2022-12-17T02:33:06 r 17.044 0.040
59928.154 2022-12-15T03:41:38 r 17.023 0.033
59928.149 2022-12-15T03:34:51 r 17.039 0.035
59928.136 2022-12-15T03:15:24 g 16.981 0.045
59928.135 2022-12-15T03:14:02 g 16.964 0.036
59922.188 2022-12-09T04:30:25 r 16.877 0.036
59922.187 2022-12-09T04:29:43 r 16.872 0.041
59922.153 2022-12-09T03:40:00 g 16.810 0.042
59922.152 2022-12-09T03:39:18 g 16.788 0.036
59913.168 2022-11-30T04:02:04 r 16.827 0.033
59911.185 2022-11-28T04:27:03 r 16.845 0.054
59910.212 2022-11-27T05:04:51 g 16.662 0.035
59910.172 2022-11-27T04:07:12 r 16.791 0.036
59909.175 2022-11-26T04:11:46 r 16.725 0.031
59908.168 2022-11-25T04:01:56 r 16.723 0.032
59907.170 2022-11-24T04:04:37 r 16.756 0.040
59907.130 2022-11-24T03:06:31 g 16.719 0.034
59906.232 2022-11-23T05:34:08 r 16.811 0.033
59906.189 2022-11-23T04:32:43 g 16.776 0.041
59905.191 2022-11-22T04:34:32 g 16.778 0.049
59904.190 2022-11-21T04:33:50 r 16.783 0.036
59904.170 2022-11-21T04:04:30 g 16.749 0.028
59903.192 2022-11-20T04:37:09 r 16.719 0.034
59902.191 2022-11-19T04:34:38 r 16.711 0.033
59901.213 2022-11-18T05:07:04 g 16.641 0.043
59901.171 2022-11-18T04:06:22 r 16.700 0.049
59900.233 2022-11-17T05:34:53 r 16.673 0.040
59899.245 2022-11-16T05:52:15 g 16.605 0.034
59899.174 2022-11-16T04:11:12 r 16.663 0.032
59899.174 2022-11-16T04:09:51 r 16.621 0.041
59899.149 2022-11-16T03:34:03 g 16.597 0.029
59897.151 2022-11-14T03:36:49 g 16.544 0.029
