specname,phase,bump_phase,date,jd,specfile,telescope,instrument,exptime
psh0511,5.973749999888241,11.696212311275303,2022-05-11.143,2459710.64375,./spectra/tns/tns_2022jli_2022-05-11_03-27-00_Other_Other_PSH.dat,other,other,999
efosc0524,19.247025463264436,12.469487774651498,2022-05-24.417,2459723.917025463,./spectra/tns/tns_2022jzy_2022-05-24_10-00-31_ESO-NTT_EFOSC2-NTT_ePESSTO+.asci,NTT,EFOSC2,999
sedm0629,55.253703703638166,10.976166015025228,2022-06-29.423,2459759.9237037036,./spectra/fritz/spec_auto_robot_lstep1__crr_b_ifu20220629_10_10_08_ZTF22aapubuy.txt,P60,SEDM,1800
sedm0707,63.254224536940455,6.4766868483275175,2022-07-07.424,2459767.924224537,./spectra/fritz/spec_auto_robot_lstep1__crr_b_ifu20220707_10_10_53_ZTF22aapubuy.txt,P60,SEDM,1800
sedm0719,75.28391203703359,6.00637434842065,2022-07-19.453,2459779.953912037,./spectra/fritz/spec_auto_robot_lstep1__crr_b_ifu20220719_10_53_38_ZTF22aapubuy.txt,P60,SEDM,1800
sedm0726,82.16870370367542,0.39116601506248116,2022-07-26.338,2459786.8387037036,./spectra/fritz/spec_auto_robot_lstep1__crr_b_ifu20220726_08_07_44_ZTF22aapubuy.txt,P60,SEDM,1800
sedm0804,91.24891203688458,9.471374348271638,2022-08-04.418,2459795.918912037,./spectra/fritz/spec_auto_robot_lstep1__crr_b_ifu20220804_10_03_14_ZTF22aapubuy.txt,P60,SEDM,1800
not0806,93.02682870393619,11.249291015323251,2022-08-06.196,2459797.696828704,./spectra/fritz/spectrum_1d.ascii,NOT,ALFOSC,999
sedm0811,98.14078703708947,3.863249348476529,2022-08-11.310,2459802.810787037,./spectra/fritz/spec_auto_robot_lstep1__crr_b_ifu20220811_07_27_32_ZTF22aapubuy.txt,P60,SEDM,1800
sedm0816,103.11894675949588,8.841409070882946,2022-08-16.288,2459807.7889467594,./spectra/fritz/spec_auto_robot_lstep1__crr_b_ifu20220816_06_56_05_ZTF22aapubuy.txt,P60,SEDM,1800
sedm0818,105.15502314828336,10.877485459670424,2022-08-18.325,2459809.825023148,./spectra/fritz/spec_auto_robot_lstep1__crr_b_ifu20220818_07_48_02_ZTF22aapubuy.txt,P60,SEDM,1800
dbsp0820,106.8300000000745,0.05246231146156788,2022-08-20.0,2459811.5,./spectra/fritz/ZTF22aapubuy_DBSP_2022-08-20T00_00_00.csv,P200,DBSP,300
